date,close,volume,open,high,low
05/15/2026,88.77,"1,629,106",90.99,91.14,88.72
05/14/2026,91.54,"1,057,570",92.0,92.2,90.57
05/13/2026,91.38,"1,383,250",90.64,92.05,89.2
05/12/2026,90.82,"1,176,220",91.67,91.71,89.16
05/11/2026,91.66,"1,388,617",91.11,92.1741,90.31
05/08/2026,91.01,"1,379,032",91.96,91.96,90.31
05/07/2026,91.59,"1,192,660",92.98,93.425,91.42
05/06/2026,93.09,"1,177,785",92.86,93.95,92.05
05/05/2026,91.63,"1,298,425",91.58,92.255,90.3
05/04/2026,90.94,"1,637,970",95.0,95.0,90.52
05/01/2026,94.72,"1,855,662",95.98,96.64,93.745
04/30/2026,95.96,"3,709,179",97.125,97.61,91.47
04/29/2026,89.78,"2,613,344",88.09,90.15,87.98
04/28/2026,88.14,"903,833",87.79,89.33,87.54
04/27/2026,88.48,"1,109,964",88.22,89.115,87.785
04/24/2026,87.96,"1,219,029",89.78,89.81,86.765
04/23/2026,90.37,"1,189,836",89.77,90.9,89.19
04/22/2026,89.46,"1,462,138",91.31,91.31,89.18
04/21/2026,90.79,"1,566,729",91.54,92.0199,89.71
04/20/2026,91.5,"599,705",91.21,92.0199,91.1555
04/17/2026,91.61,"982,922",90.81,92.935,90.81
04/16/2026,90.27,"894,464",90.32,91.21,89.87
04/15/2026,90.49,"1,238,087",92.11,92.59,89.6
04/14/2026,92.65,"849,422",92.94,93.33,92.0
04/13/2026,93.11,"1,127,359",91.14,93.31,90.89
04/10/2026,91.39,"840,249",91.52,91.79,90.59
04/09/2026,91.41,"1,062,709",91.0,91.99,90.58
04/08/2026,91.37,"1,306,746",90.56,91.845,90.0
04/07/2026,87.68,"943,132",87.9,88.55,87.27
04/06/2026,88.54,"710,412",87.55,88.57,87.1
04/02/2026,88.05,"783,441",88.0,89.66,87.07
04/01/2026,88.91,"1,216,939",87.9,89.72,87.625
03/31/2026,87.56,"1,516,628",87.0,88.0375,85.74
03/30/2026,85.95,"1,163,585",88.24,88.5,85.61
03/27/2026,87.47,"986,494",88.38,88.61,87.23
03/26/2026,88.89,"1,311,722",89.96,90.75,88.38
03/25/2026,90.71,"1,200,840",91.39,92.04,90.2801
03/24/2026,90.58,"1,545,670",88.2,91.33,88.2
03/23/2026,89.03,"1,661,608",90.9,91.0,88.955
03/20/2026,88.77,"4,588,685",88.4,89.69,87.93
03/19/2026,88.69,"2,299,710",88.02,88.8599,87.35
03/18/2026,89.1,"1,972,170",90.59,91.51,88.96
03/17/2026,91.49,"1,247,444",92.66,93.38,89.73
03/16/2026,91.86,"1,846,573",91.95,93.58,91.65
03/13/2026,91.05,"1,184,068",92.21,92.9,90.99
03/12/2026,91.54,"1,646,523",91.41,92.96,91.08
03/11/2026,93.27,"1,414,017",91.77,93.48,91.02
03/10/2026,92.51,"2,160,211",93.8,94.13,92.32
03/09/2026,94.14,"1,369,154",93.95,94.87,91.355
03/06/2026,94.96,"1,137,740",95.18,95.77,93.31
03/05/2026,96.4,"1,491,506",98.57,98.695,95.54
03/04/2026,99.31,"1,033,638",99.12,99.46,97.23
03/03/2026,98.55,"1,654,259",99.39,99.74,96.35
03/02/2026,100.68,"1,671,799",99.34,100.98,98.29
02/27/2026,98.65,"1,239,707",97.73,98.83,97.28
02/26/2026,98.63,"1,408,576",97.12,99.0,96.06
02/25/2026,96.64,"1,213,711",99.5,99.91,95.67
02/24/2026,98.99,"1,147,784",98.74,99.71,97.92
02/23/2026,98.8,"1,284,593",100.4,100.77,97.55
02/20/2026,100.77,"1,753,735",99.01,100.82,98.3585
02/19/2026,99.03,"1,672,373",99.84,101.0,98.41
02/18/2026,100.25,"1,997,236",100.26,101.57,99.31
02/17/2026,99.7,"1,658,039",98.13,100.545,97.75
02/13/2026,98.09,"1,727,922",99.36,99.86,97.55
02/12/2026,98.75,"2,873,094",98.01,100.92,97.17
02/11/2026,97.28,"1,418,445",96.32,97.35,95.69
02/10/2026,95.87,"2,028,627",95.73,96.75,95.38
02/09/2026,95.47,"1,605,250",95.1,95.74,94.48
02/06/2026,95.44,"1,863,353",93.58,95.87,93.5
02/05/2026,92.85,"2,664,877",90.41,92.96,90.03
02/04/2026,90.73,"3,184,262",88.99,91.3437,88.99
02/03/2026,88.63,"2,252,478",87.24,89.45,86.36
02/02/2026,87.56,"2,326,185",87.66,88.6,87.06
01/30/2026,88.06,"2,354,274",87.83,88.83,87.0
01/29/2026,87.82,"3,411,543",86.83,88.58,86.6484
01/28/2026,86.79,"6,415,359",90.53,90.82,84.32
01/27/2026,94.23,"1,849,470",94.95,95.715,93.84
01/26/2026,94.64,"1,279,974",95.16,95.59,94.44
01/23/2026,95.0,"1,039,871",96.04,96.29,94.68
01/22/2026,96.03,"1,010,217",96.98,96.98,95.82
01/21/2026,96.32,"1,956,645",93.9,96.35,93.46
