date,close,volume,open,high,low
05/15/2026,168.64,"1,097,614",172.05,172.7499,167.47
05/14/2026,170.67,"813,619",171.97,172.79,168.6201
05/13/2026,171.01,"934,005",172.08,173.08,166.915
05/12/2026,169.63,"880,970",168.14,172.365,166.05
05/11/2026,168.23,"959,815",169.88,171.07,167.21
05/08/2026,169.96,"1,109,817",173.85,174.9999,168.805
05/07/2026,170.56,"1,254,646",168.35,172.87,168.22
05/06/2026,168.49,"1,108,174",167.0,171.72,164.21
05/05/2026,165.4,"1,097,613",165.76,168.445,165.0
05/04/2026,166.07,"1,184,631",166.95,167.835,163.09
05/01/2026,167.0,"1,069,878",168.25,170.4599,166.11
04/30/2026,168.27,"1,142,079",169.47,171.49,165.71
04/29/2026,167.97,"1,575,624",160.01,169.97,159.0001
04/28/2026,162.54,"1,619,259",184.01,184.38,161.49
04/27/2026,179.51,"1,255,493",176.32,180.27,175.6
04/24/2026,174.35,"753,552",177.955,177.955,170.3
04/23/2026,181.18,"518,654",181.49,183.0999,180.0701
04/22/2026,180.72,"450,856",179.56,181.77,177.05
04/21/2026,178.55,"535,634",181.05,181.05,177.71
04/20/2026,179.72,"686,163",181.98,183.2899,179.34
04/17/2026,182.41,"535,251",178.4,183.49,178.23
04/16/2026,178.73,"497,486",179.46,182.955,178.54
04/15/2026,180.15,"500,259",181.7,182.185,178.7
04/14/2026,181.95,"499,091",182.28,184.01,180.65
04/13/2026,183.2,"731,000",179.51,183.22,177.42
04/10/2026,180.78,"464,091",189.09,189.09,180.77
04/09/2026,187.88,"331,385",185.32,189.4476,185.32
04/08/2026,186.76,"561,886",183.47,187.625,182.29
04/07/2026,180.61,"514,286",181.47,183.39,180.0
04/06/2026,181.33,"658,284",176.0,181.52,175.75
04/02/2026,176.7,"547,003",175.14,178.0928,173.79
04/01/2026,177.94,"743,499",177.57,180.45,176.21
03/31/2026,178.97,"698,189",183.4,183.825,176.81
03/30/2026,182.1,"601,802",186.2,186.2,181.81
03/27/2026,184.04,"581,105",185.4,185.71,183.57
03/26/2026,185.09,"393,466",185.14,188.4,184.86
03/25/2026,186.72,"651,820",186.31,188.56,182.47
03/24/2026,185.92,"694,071",187.38,188.93,181.81
03/23/2026,188.09,"847,314",187.62,191.4,187.18
03/20/2026,185.82,"1,124,634",185.11,187.39,184.155
03/19/2026,187.22,"778,365",189.17,189.17,185.86
03/18/2026,189.58,"874,040",193.69,195.7,187.03
03/17/2026,193.46,"963,946",194.37,198.99,188.25
03/16/2026,193.47,"743,430",195.07,196.43,193.42
03/13/2026,192.42,"856,372",192.02,195.29,190.95
03/12/2026,190.49,"1,157,500",185.14,194.295,183.18
03/11/2026,186.24,"700,316",184.95,187.565,183.06
03/10/2026,186.53,"826,056",191.03,191.88,186.1
03/09/2026,190.53,"1,157,481",188.49,191.05,181.425
03/06/2026,192.65,"736,899",194.92,195.31,189.02
03/05/2026,196.96,"1,119,497",200.04,200.7,192.47
03/04/2026,202.31,"646,880",204.5,207.1675,202.11
03/03/2026,204.85,"851,166",203.29,206.7599,200.06
03/02/2026,206.42,"698,239",203.23,208.86,201.8
02/27/2026,206.1,"1,664,353",204.0,209.2,203.5
02/26/2026,204.33,"1,807,447",219.425,219.425,202.84
02/25/2026,230.73,"944,972",231.47,234.05,228.35
02/24/2026,229.98,"525,339",232.22,232.49,227.4501
02/23/2026,232.6,"600,419",229.91,233.65,229.79
02/20/2026,230.49,"783,352",229.61,231.745,228.02
02/19/2026,230.0,"577,978",233.34,235.08,229.52
02/18/2026,235.29,"686,931",234.16,237.56,232.64
02/17/2026,235.12,"587,555",236.97,240.925,234.78
02/13/2026,234.81,"630,167",233.27,236.8999,228.95
02/12/2026,234.05,"1,302,543",232.18,243.86,230.86
02/11/2026,231.32,"1,074,389",211.81,232.0,211.0
02/10/2026,212.78,"429,496",213.43,215.05,211.035
02/09/2026,212.94,"398,758",217.94,220.42,211.99
02/06/2026,218.56,"739,246",218.01,220.35,216.78
02/05/2026,216.47,"797,456",206.68,218.02,206.68
02/04/2026,206.46,"701,281",207.44,211.14,205.94
02/03/2026,206.98,"615,071",203.82,208.5099,203.12
02/02/2026,201.86,"519,580",203.12,204.36,200.63
01/30/2026,201.26,"519,484",198.71,202.13,197.29
01/29/2026,200.13,"441,428",204.32,204.32,199.58
01/28/2026,203.02,"949,586",201.57,204.04,197.815
01/27/2026,202.64,"559,600",208.27,213.43,202.33
01/26/2026,206.1,"691,321",205.69,208.68,204.3
01/23/2026,205.09,"540,313",204.17,207.52,203.68
01/22/2026,205.71,"723,202",203.44,206.12,203.42
01/21/2026,203.68,"567,145",201.14,204.62,200.03
01/20/2026,199.87,"698,309",198.01,200.27,196.11
01/16/2026,199.88,"563,888",205.07,205.07,197.79
01/15/2026,204.19,"573,520",199.99,204.36,197.62
01/14/2026,199.22,"790,805",202.18,202.6,197.45
01/13/2026,201.81,"893,238",205.5,205.5,198.85
01/12/2026,205.96,"735,472",205.9,205.98,202.66
01/09/2026,207.03,"740,541",212.3,215.09,206.08
01/08/2026,211.14,"999,520",208.89,214.45,207.28
01/07/2026,208.39,"1,243,516",220.49,221.35,207.44
01/06/2026,221.74,"781,580",222.4,226.31,220.59
01/05/2026,222.87,"909,729",219.0,224.08,217.02
01/02/2026,219.88,"675,499",217.82,220.46,215.1
12/31/2025,218.02,"725,904",224.47,225.01,217.87
12/30/2025,225.06,"719,898",225.52,226.11,224.18
12/29/2025,226.11,"878,763",227.71,227.71,223.4365
12/26/2025,227.64,"246,982",226.82,227.76,226.43
12/24/2025,227.08,"170,975",228.13,229.15,225.47
12/23/2025,227.27,"593,661",226.62,228.01,225.11
12/22/2025,226.64,"748,572",226.47,227.6825,224.49
12/19/2025,227.46,"1,411,825",224.69,228.44,224.69
12/18/2025,224.74,"622,209",225.66,228.725,224.435
12/17/2025,224.9,"861,232",221.07,225.76,219.6875
12/16/2025,222.64,"952,481",223.58,225.24,221.615
12/15/2025,223.87,"1,131,097",222.43,225.29,220.005
12/12/2025,222.6,"763,818",224.61,226.0,220.94
12/11/2025,224.58,"730,244",224.01,224.92,220.24
12/10/2025,222.85,"794,865",225.15,225.55,219.94
12/09/2025,225.35,"496,208",227.04,230.1551,224.29
12/08/2025,226.13,"763,093",230.78,230.78,224.63
12/05/2025,231.08,"398,062",232.86,232.86,229.595
12/04/2025,230.59,"475,638",229.1,232.31,228.0
12/03/2025,230.15,"602,101",238.44,238.44,229.83
12/02/2025,238.68,"858,694",243.69,244.5932,237.33
12/01/2025,239.43,"900,423",242.35,245.52,239.43
11/28/2025,243.63,"541,172",244.83,246.0,241.6379
11/26/2025,244.18,"425,282",243.03,246.325,243.03
11/25/2025,243.74,"645,680",238.46,245.44,238.0
11/24/2025,236.95,"924,115",235.96,239.88,234.0
11/21/2025,231.92,"679,471",227.5,235.4765,227.45
11/20/2025,225.38,"1,011,039",228.88,230.9299,225.19
11/19/2025,227.94,"711,097",229.07,229.99,223.1001
11/18/2025,228.84,"686,031",226.03,229.35,224.2
11/17/2025,226.5,"862,155",223.9,229.23,221.695
11/14/2025,225.04,"524,017",227.95,227.98,223.51
11/13/2025,227.57,"492,452",228.35,230.33,224.02
11/12/2025,228.42,"494,133",224.35,231.3699,224.08
11/11/2025,224.41,"505,548",223.83,226.23,221.51
11/10/2025,222.64,"976,259",218.5,224.14,217.26
11/07/2025,229.23,"573,193",227.08,229.76,225.3
11/06/2025,226.39,"418,809",226.13,228.26,224.251
11/05/2025,227.95,"650,782",222.44,228.08,221.25
11/04/2025,224.19,"763,422",220.07,226.879,219.595
11/03/2025,220.7,"695,078",220.23,220.76,216.09
10/31/2025,217.01,"507,888",217.78,220.137,215.635
10/30/2025,218.69,"657,799",224.25,227.16,218.16
10/29/2025,225.3,"1,020,176",217.8,227.22,217.7
10/28/2025,219.32,"1,422,397",220.1,226.72,211.65
10/27/2025,214.03,"925,178",211.43,214.28,210.03
10/24/2025,210.68,"943,192",211.86,214.1,200.7
10/23/2025,208.63,"500,951",208.1,211.14,207.205
10/22/2025,210.4,"531,565",207.185,211.1425,207.185
10/21/2025,206.8,"331,946",207.49,208.65,206.2673
10/20/2025,207.24,"297,052",205.5,208.16,204.625
10/17/2025,204.56,"377,408",204.07,205.31,201.835
10/16/2025,204.24,"369,180",205.08,205.7499,203.71
10/15/2025,205.0,"422,933",203.81,205.53,202.3
10/14/2025,203.81,"433,875",196.85,204.4,195.76
10/13/2025,197.76,"548,719",198.47,199.77,195.98
10/10/2025,196.11,"720,768",202.57,202.93,195.95
10/09/2025,201.6,"739,491",206.08,206.53,201.26
10/08/2025,205.2,"496,803",209.12,209.65,204.65
10/07/2025,209.7,"536,025",208.88,212.87,207.65
10/06/2025,206.84,"588,703",207.17,209.73,206.52
