date,close,volume,open,high,low
05/15/2026,494.28,"626,844",496.03,503.5,492.49
05/14/2026,498.28,"589,837",492.6,503.675,492.6
05/13/2026,492.145,"829,539",499.2,500.0,487.441
05/12/2026,505.2,"1,049,574",509.02,511.465,493.255
05/11/2026,511.98,"586,274",523.52,524.37,508.94
05/08/2026,521.58,"474,311",529.55,530.05,519.07
05/07/2026,526.53,"534,248",536.36,540.108,524.33
05/06/2026,535.1,"691,659",537.54,543.21,530.97
05/05/2026,532.53,"679,606",532.275,537.0,527.0003
05/04/2026,518.0,"913,469",529.38,532.57,517.18
05/01/2026,531.95,"478,050",540.0,541.08,530.74
04/30/2026,537.48,"611,452",533.62,541.39,531.78
04/29/2026,530.23,"810,823",535.0,536.165,524.0
04/28/2026,538.15,"412,658",541.0,544.12,534.36
04/27/2026,539.66,"1,046,570",553.68,558.58,531.01
04/24/2026,558.55,"389,123",563.74,565.0,552.2
04/23/2026,564.44,"608,090",566.04,566.09,551.71
04/22/2026,563.91,"576,692",572.37,578.63,557.5
04/21/2026,570.16,"616,609",573.63,576.5946,565.74
04/20/2026,572.24,"711,196",559.0,573.77,553.36
04/17/2026,553.36,"992,440",543.91,560.95,543.38
04/16/2026,539.44,"717,249",542.6,548.86,537.18
04/15/2026,539.14,"513,855",533.47,542.18,531.0
04/14/2026,533.09,"686,508",530.63,543.29,527.16
04/13/2026,526.76,"658,841",520.4,528.1,517.945
04/10/2026,520.38,"708,173",531.73,532.52,512.91
04/09/2026,532.79,"544,613",529.94,547.0,528.1681
04/08/2026,532.82,"762,168",543.0,547.49,520.08
04/07/2026,532.23,"529,516",539.29,542.61,530.53
04/06/2026,542.65,"398,897",537.98,542.79,529.98
04/02/2026,537.39,"616,021",528.56,538.27,525.22
04/01/2026,536.61,"699,539",526.86,541.25,526.69
03/31/2026,522.71,"551,261",516.22,529.03,514.07
03/30/2026,510.09,"701,862",514.8,520.0,506.4
03/27/2026,510.34,"622,608",517.62,524.1,509.44
03/26/2026,521.64,"655,156",524.81,532.0,520.95
03/25/2026,526.14,"666,538",524.35,533.44,521.0
03/24/2026,515.22,"976,209",512.42,517.43,499.32
03/23/2026,516.11,"960,629",531.96,535.6099,514.51
03/20/2026,529.97,"948,993",533.57,540.0,524.85
03/19/2026,534.1,"745,103",517.39,535.375,516.46
03/18/2026,520.65,"968,831",519.31,533.571,519.25
03/17/2026,523.07,"1,208,895",518.68,534.405,518.6
03/16/2026,516.74,"2,700,161",532.92,542.84,516.03
03/13/2026,535.72,"2,740,586",566.28,579.45,534.685
03/12/2026,624.7,"1,519,808",652.02,655.1999,622.3
03/11/2026,652.645,"713,749",646.29,657.32,643.1
03/10/2026,647.23,"620,016",635.57,653.88,631.45
03/09/2026,642.22,"610,316",633.28,642.4999,615.0
03/06/2026,646.34,"410,037",646.23,651.145,637.365
03/05/2026,653.64,"530,837",657.9,668.7099,644.15
03/04/2026,661.34,"465,668",673.86,677.3,659.79
03/03/2026,668.95,"431,004",660.47,671.47,655.65
03/02/2026,677.0,"394,213",680.83,682.51,666.4628
02/27/2026,684.79,"663,116",686.88,702.53,682.47
02/26/2026,695.63,"415,802",688.23,699.2,684.59
02/25/2026,684.27,"428,387",687.2,691.9999,677.31
02/24/2026,686.44,"428,544",676.17,690.3699,674.48
02/23/2026,669.87,"431,160",676.65,682.49,663.515
02/20/2026,682.89,"422,006",684.49,694.1,672.67
02/19/2026,692.79,"410,037",682.01,695.7757,680.94
02/18/2026,689.42,"621,008",700.1,714.9699,685.5
02/17/2026,706.82,"569,923",690.76,707.25,686.8612
02/13/2026,683.4,"380,608",666.96,690.0,660.0
02/12/2026,667.18,"523,790",690.0,693.75,664.95
02/11/2026,683.05,"360,762",686.82,694.9999,682.03
02/10/2026,679.28,"482,311",696.25,697.39,678.16
02/09/2026,696.25,"560,065",690.0,700.81,688.995
02/06/2026,690.37,"468,100",681.27,692.6,677.475
02/05/2026,677.91,"552,865",678.64,689.0,671.68
02/04/2026,678.64,"496,064",673.39,690.08,668.145
02/03/2026,673.39,"418,364",665.57,677.7,662.52
