date,close,volume,open,high,low
05/15/2026,270.56,"3,314,292",269.0,270.72,267.12
05/14/2026,269.34,"3,946,954",265.37,269.43,263.6801
05/13/2026,264.65,"1,866,740",265.17,268.59,263.84
05/12/2026,265.6,"2,542,386",264.45,266.9799,261.0401
05/11/2026,263.35,"1,609,788",265.63,267.0,263.34
05/08/2026,264.65,"1,788,019",264.13,266.2,262.91
05/07/2026,264.89,"2,032,529",268.15,268.83,264.1
05/06/2026,268.23,"3,020,038",265.44,270.275,265.12
05/05/2026,264.01,"1,768,078",264.4,265.0612,261.94
05/04/2026,263.41,"2,778,129",265.7,266.81,261.96
05/01/2026,266.32,"2,069,249",269.76,269.76,265.98
04/30/2026,269.48,"3,317,031",264.34,270.227,263.2
04/29/2026,264.78,"3,243,855",266.82,267.7985,263.1
04/28/2026,267.74,"2,703,959",271.43,271.52,266.92
04/27/2026,268.91,"2,829,364",269.45,270.82,265.76
04/24/2026,268.7,"3,565,742",272.88,274.79,268.4
04/23/2026,271.26,"8,477,492",262.76,271.26,255.0
04/22/2026,249.4,"3,845,059",253.24,254.76,248.905
04/21/2026,251.25,"3,232,989",253.52,253.52,248.5
04/20/2026,252.18,"2,637,205",251.39,253.58,248.82
04/17/2026,251.14,"4,482,814",252.44,256.09,250.98
04/16/2026,251.07,"2,639,171",247.46,251.3,246.88
04/15/2026,248.03,"2,971,473",251.84,252.02,246.985
04/14/2026,252.04,"2,264,749",251.1,252.73,249.06
04/13/2026,251.34,"1,591,198",251.0,251.98,248.67
04/10/2026,250.51,"2,431,701",251.0,252.225,249.27
04/09/2026,251.15,"2,999,112",249.01,252.13,248.1
04/08/2026,249.11,"3,297,596",250.49,252.62,247.02
04/07/2026,246.11,"2,878,859",244.93,246.7499,243.33
04/06/2026,245.54,"1,451,045",243.43,245.88,242.6
04/02/2026,244.71,"2,327,946",240.48,244.83,240.0
04/01/2026,243.12,"2,444,548",243.13,246.125,242.0
03/31/2026,242.62,"4,177,289",240.785,243.73,238.13
03/30/2026,239.23,"2,770,824",241.65,242.45,238.86
03/27/2026,238.79,"2,675,059",238.62,241.16,238.3
03/26/2026,239.19,"2,225,686",239.35,241.585,238.28
