date,close,volume,open,high,low
05/15/2026,98.93,"5,567,474",98.165,99.31,97.53
05/14/2026,98.42,"5,443,655",99.05,100.0,97.94
05/13/2026,98.45,"5,029,760",98.28,99.23,98.01
05/12/2026,98.44,"6,197,726",100.385,100.385,96.9
05/11/2026,100.0,"5,327,993",100.72,100.865,99.79
05/08/2026,100.78,"4,780,824",100.73,101.03,100.01
05/07/2026,100.1,"5,808,740",100.355,101.11,99.35
05/06/2026,99.89,"7,358,692",98.93,100.79,98.58
05/05/2026,98.07,"7,129,279",96.59,98.395,96.515
05/04/2026,96.31,"18,538,490",102.315,102.83,95.98
05/01/2026,107.57,"4,225,215",109.38,109.84,106.95
04/30/2026,108.8,"6,091,154",106.76,109.11,106.75
04/29/2026,106.61,"6,216,593",104.6,106.75,103.36
04/28/2026,103.94,"12,540,130",103.99,105.95,100.45
04/27/2026,108.24,"6,570,581",107.205,108.52,107.12
04/24/2026,107.02,"4,168,018",107.38,107.74,106.46
04/23/2026,107.72,"4,422,779",106.44,108.3,106.04
04/22/2026,105.3,"3,634,497",107.0,107.0,105.27
04/21/2026,106.31,"4,082,172",107.53,108.15,105.58
04/20/2026,107.11,"3,639,307",105.73,107.5,105.53
04/17/2026,106.44,"5,506,236",106.18,107.59,105.56
04/16/2026,105.06,"5,295,660",103.36,105.735,103.36
04/15/2026,103.57,"5,193,491",102.95,103.7,102.03
04/14/2026,103.22,"4,703,589",102.05,103.47,101.21
04/13/2026,102.02,"3,799,948",100.88,102.11,99.93
04/10/2026,101.7,"4,491,038",102.16,102.4,101.2551
04/09/2026,101.64,"4,361,814",99.99,101.86,99.7211
04/08/2026,100.45,"5,926,671",100.2,101.54,99.26
04/07/2026,97.57,"4,480,923",96.785,97.89,95.63
04/06/2026,97.16,"4,690,761",98.05,98.05,96.39
04/02/2026,98.18,"4,060,346",96.04,98.87,95.52
04/01/2026,97.91,"5,101,616",98.85,99.7,97.69
03/31/2026,98.38,"6,868,280",96.78,98.43,95.77
03/30/2026,94.95,"5,232,638",96.12,96.4,94.7
03/27/2026,94.8,"5,914,679",96.5,96.94,94.06
