date,close,volume,open,high,low
05/15/2026,53.12,"10,007,180",53.4,53.42,52.33
05/14/2026,53.42,"7,846,432",53.34,53.84,53.26
05/13/2026,52.74,"14,646,440",54.09,54.14,52.595
05/12/2026,54.48,"9,068,794",54.55,54.88,53.62
05/11/2026,54.49,"7,847,926",55.53,55.87,54.355
05/08/2026,55.53,"10,662,480",55.61,55.6424,54.91
05/07/2026,55.31,"11,680,380",56.22,56.48,55.04
05/06/2026,56.16,"9,217,844",56.13,56.86,56.11
05/05/2026,55.6,"7,014,509",55.52,55.8,55.3
05/04/2026,55.24,"6,218,350",55.84,56.115,55.2
05/01/2026,56.3,"6,572,866",56.69,57.05,56.3
04/30/2026,56.66,"10,918,700",55.94,56.98,55.555
04/29/2026,56.17,"9,615,601",56.21,56.46,55.485
04/28/2026,56.21,"7,394,682",56.6,56.85,56.085
04/27/2026,55.97,"6,763,718",55.63,56.42,55.56
04/24/2026,55.58,"6,146,902",56.75,56.77,55.4
04/23/2026,56.63,"6,048,873",56.86,57.235,56.085
04/22/2026,56.6,"8,558,650",57.05,57.31,56.47
04/21/2026,56.84,"9,241,055",57.1,58.05,56.7
04/20/2026,57.0,"8,288,296",56.47,57.495,56.47
04/17/2026,56.93,"11,266,250",55.95,57.39,55.85
04/16/2026,55.48,"13,686,000",55.75,56.22,55.15
04/15/2026,56.37,"11,346,930",56.12,56.755,55.84
04/14/2026,56.09,"15,677,030",56.16,56.34,54.38
04/13/2026,56.51,"5,998,257",55.29,56.565,54.95
04/10/2026,55.66,"7,385,162",56.29,56.32,55.57
04/09/2026,56.33,"10,182,800",55.06,56.54,55.04
04/08/2026,55.36,"8,145,637",55.22,55.75,54.755
04/07/2026,53.7,"9,198,326",53.27,53.8,53.16
04/06/2026,53.44,"6,535,882",53.01,53.58,52.8685
04/02/2026,52.95,"7,052,721",51.95,53.075,51.6
04/01/2026,52.75,"7,985,858",52.75,53.02,52.2601
03/31/2026,52.01,"15,709,960",51.18,52.125,50.72
03/30/2026,50.88,"8,690,016",51.17,51.305,50.505
03/27/2026,50.85,"10,774,380",51.29,51.5,50.5
03/26/2026,51.59,"7,317,228",51.5,51.94,51.31
03/25/2026,51.89,"8,957,684",52.32,52.78,51.4301
03/24/2026,52.14,"13,434,740",50.77,52.56,50.75
03/23/2026,51.52,"12,235,370",52.83,52.95,51.435
03/20/2026,51.25,"21,632,620",51.41,51.67,50.67
03/19/2026,51.3,"9,543,035",50.98,51.84,50.39
03/18/2026,51.32,"10,519,750",51.85,52.325,51.27
03/17/2026,51.58,"8,280,839",51.99,52.355,51.43
03/16/2026,51.16,"10,617,980",51.56,51.975,51.07
03/13/2026,51.0,"10,742,510",52.07,52.165,50.915
03/12/2026,51.48,"11,993,600",51.13,52.03,51.095
03/11/2026,52.23,"12,058,280",52.1,52.495,51.36
03/10/2026,51.95,"10,461,470",52.14,52.8953,51.35
03/09/2026,52.13,"11,260,900",51.53,52.435,50.32
03/06/2026,52.37,"9,804,910",52.6,52.85,51.37
03/05/2026,53.91,"12,849,340",53.53,54.32,53.195
03/04/2026,54.34,"6,987,617",54.34,54.565,53.73
03/03/2026,53.99,"11,508,970",53.19,54.69,52.92
03/02/2026,54.63,"8,980,727",53.65,55.265,53.25
02/27/2026,54.66,"13,058,710",56.21,56.5014,54.085
02/26/2026,57.26,"10,932,200",56.81,58.1,56.46
02/25/2026,56.05,"8,646,917",55.53,56.145,55.185
02/24/2026,55.03,"9,373,829",55.37,55.8199,54.55
02/23/2026,55.81,"9,705,007",58.63,58.87,55.525
02/20/2026,58.66,"8,805,887",57.8,58.68,57.27
02/19/2026,57.89,"6,914,960",58.21,58.47,57.41
02/18/2026,58.76,"7,355,723",58.18,59.04,58.09
02/17/2026,58.17,"7,253,175",58.27,58.9,57.96
02/13/2026,57.69,"9,284,424",57.45,58.14,56.8389
02/12/2026,57.83,"16,654,480",59.39,60.02,57.26
02/11/2026,58.96,"14,329,180",61.0,61.19,58.695
02/10/2026,60.55,"8,501,764",60.12,60.985,59.795
02/09/2026,60.35,"7,113,047",60.46,60.87,60.26
02/06/2026,60.69,"11,998,800",59.95,60.91,59.79
02/05/2026,59.11,"11,463,480",59.1,59.63,58.59
02/04/2026,59.42,"18,509,880",59.18,60.605,59.11
02/03/2026,58.69,"18,927,560",57.5,58.86,57.0
02/02/2026,57.36,"10,468,470",56.14,57.42,55.99
01/30/2026,56.11,"9,826,744",56.05,56.5,55.5415
01/29/2026,56.33,"8,084,259",56.14,56.52,55.66
01/28/2026,55.74,"7,746,650",56.35,56.4511,55.32
01/27/2026,56.53,"12,743,400",55.95,56.695,55.85
01/26/2026,55.83,"8,542,820",55.6,56.09,55.405
01/23/2026,55.47,"15,675,280",55.93,56.205,55.28
01/22/2026,56.18,"22,469,840",55.63,56.6969,55.63
01/21/2026,55.47,"14,689,770",55.0,56.12,54.75
01/20/2026,54.38,"13,527,610",53.85,55.3425,53.75
01/16/2026,54.4,"13,808,360",53.89,55.0,53.89
01/15/2026,53.95,"10,717,170",53.54,54.28,53.54
01/14/2026,53.5,"15,910,220",53.78,53.91,53.225
01/13/2026,54.05,"15,727,430",54.5,54.69,53.625
01/12/2026,54.39,"15,801,900",54.0,54.43,53.56
01/09/2026,55.21,"5,986,735",55.52,55.86,55.21
01/08/2026,55.53,"9,499,370",54.77,55.98,54.695
01/07/2026,54.87,"8,232,184",55.75,55.95,54.72
01/06/2026,56.08,"9,362,542",55.41,56.195,55.215
01/05/2026,55.49,"11,699,490",54.12,56.1,54.0
01/02/2026,53.93,"11,657,030",53.33,54.18,52.99
12/31/2025,53.36,"6,050,830",53.94,53.97,53.335
12/30/2025,54.31,"4,955,968",54.6,54.6,54.13
12/29/2025,54.5,"4,354,340",54.98,55.03,54.41
12/26/2025,54.99,"3,905,256",54.95,55.04,54.63
12/24/2025,54.94,"3,536,062",54.65,55.15,54.42
12/23/2025,54.49,"6,205,901",54.91,55.13,54.47
12/22/2025,54.87,"7,654,126",54.11,54.9,54.05
12/19/2025,54.16,"24,506,790",53.89,54.245,53.75
12/18/2025,53.87,"9,095,624",53.8,54.41,53.52
12/17/2025,53.74,"9,936,498",53.7,54.035,53.58
12/16/2025,53.47,"9,658,426",53.89,53.9,53.155
12/15/2025,53.71,"12,045,490",53.82,54.0075,53.42
12/12/2025,53.42,"9,239,711",53.94,53.98,53.33
12/11/2025,53.58,"10,115,930",53.32,53.96,53.32
12/10/2025,53.56,"10,355,370",51.57,53.73,51.57
12/09/2025,51.57,"9,187,319",51.3,52.0,51.3
12/08/2025,51.41,"7,502,966",51.38,51.91,51.235
12/05/2025,51.26,"7,693,520",51.17,51.78,51.12
12/04/2025,51.37,"7,917,623",50.95,51.51,50.9
12/03/2025,50.93,"9,578,384",49.96,50.96,49.79
12/02/2025,49.68,"10,791,780",49.63,49.98,49.17
12/01/2025,49.41,"8,975,615",48.94,49.8475,48.92
11/28/2025,49.05,"3,280,060",48.91,49.255,48.84
11/26/2025,48.95,"4,452,844",48.92,49.3,48.74
11/25/2025,48.91,"10,153,120",48.05,49.185,47.98
11/24/2025,47.75,"10,955,820",47.77,47.93,47.215
11/21/2025,47.78,"7,874,033",46.83,48.155,46.63
11/20/2025,46.49,"8,172,463",47.2,47.76,46.4275
11/19/2025,46.8,"8,899,147",45.88,46.84,45.8
11/18/2025,45.92,"8,035,259",45.27,46.34,45.02
11/17/2025,45.47,"7,832,359",46.9,46.99,45.27
11/14/2025,47.1,"6,121,547",47.19,47.38,46.665
11/13/2025,47.31,"6,287,923",47.73,48.015,47.07
11/12/2025,47.89,"5,664,444",47.77,48.51,47.6967
11/11/2025,47.62,"4,751,626",47.7,47.94,47.32
11/10/2025,47.58,"5,685,885",47.41,47.8058,47.11
11/07/2025,47.32,"6,870,389",46.62,47.34,46.47
11/06/2025,46.85,"7,170,053",46.79,47.18,46.49
11/05/2025,46.74,"5,577,507",46.43,47.0061,46.015
11/04/2025,46.43,"7,204,300",46.45,46.985,46.155
11/03/2025,46.62,"10,455,580",46.55,46.81,45.983
10/31/2025,46.68,"9,636,570",46.43,46.87,46.08
10/30/2025,46.84,"7,191,028",46.65,47.71,46.61
10/29/2025,46.64,"8,829,467",46.91,47.485,46.365
10/28/2025,47.27,"7,549,175",47.54,47.67,47.09
10/27/2025,47.8,"10,275,440",48.44,48.489,47.495
10/24/2025,48.26,"10,982,550",48.21,48.605,48.13
10/23/2025,47.82,"12,065,730",47.66,47.875,47.0945
10/22/2025,47.33,"8,497,429",47.65,47.84,47.07
10/21/2025,47.61,"11,278,310",47.03,47.83,46.95
10/20/2025,47.1,"9,439,099",45.97,47.19,45.91
10/17/2025,45.69,"14,032,370",46.29,46.495,45.505
10/16/2025,45.65,"21,622,940",47.24,47.78,45.39
10/15/2025,46.45,"11,325,220",47.36,47.42,46.165
10/14/2025,47.09,"8,844,949",45.99,47.3607,45.925
10/13/2025,46.16,"6,896,732",45.89,46.32,45.59
10/10/2025,45.28,"12,468,400",47.34,47.4,45.225
10/09/2025,47.1,"7,011,532",47.18,47.4,46.755
10/08/2025,46.99,"5,315,695",47.73,47.7499,46.875
10/07/2025,47.5,"6,618,995",48.04,48.23,47.4515
10/06/2025,47.72,"8,426,854",48.31,48.995,47.475
10/03/2025,48.07,"9,291,494",48.03,48.45,47.845
10/02/2025,47.91,"8,468,607",47.86,48.115,47.6118
10/01/2025,47.88,"9,420,002",48.18,48.35,47.82
09/30/2025,48.33,"10,181,240",48.52,48.7196,47.465
09/29/2025,48.99,"9,379,527",49.42,49.5128,48.515
09/26/2025,49.44,"8,309,467",49.4,49.72,49.07
09/25/2025,49.03,"7,198,991",49.04,49.33,48.805
09/24/2025,49.18,"6,621,485",49.28,49.625,48.915
09/23/2025,49.35,"9,971,169",49.46,50.22,49.1
09/22/2025,49.49,"7,669,987",49.94,50.07,49.235
09/19/2025,50.41,"20,595,320",50.44,50.52,50.025
09/18/2025,50.21,"12,345,930",49.67,50.355,49.41
09/17/2025,49.61,"12,828,120",48.6,50.17,48.57
09/16/2025,48.39,"13,158,800",49.47,49.47,48.03
09/15/2025,49.29,"7,730,091",49.16,49.565,49.01
09/12/2025,49.13,"8,103,568",49.35,49.3801,48.8
09/11/2025,49.32,"8,636,525",49.3,49.54,49.045
09/10/2025,49.2,"9,988,869",49.51,49.74,48.925
09/09/2025,49.37,"17,261,760",48.66,49.99,48.56
09/08/2025,48.65,"8,543,629",48.84,48.84,48.03
09/05/2025,48.8,"8,041,191",49.35,49.49,48.36
09/04/2025,49.17,"5,564,609",48.76,49.2,48.42
09/03/2025,48.54,"8,335,475",48.48,48.94,48.02
09/02/2025,48.52,"7,053,963",48.34,48.545,47.95
08/29/2025,48.83,"12,070,030",48.72,49.06,48.58
08/28/2025,48.67,"10,464,800",48.97,48.98,48.38
08/27/2025,48.76,"9,492,920",48.5,48.995,48.38
08/26/2025,48.57,"9,280,612",47.94,48.62,47.94
08/25/2025,48.16,"7,520,786",48.1,48.265,47.98
08/22/2025,48.28,"12,679,320",46.5,48.36,46.39
08/21/2025,46.17,"4,976,019",46.22,46.385,45.86
08/20/2025,46.41,"7,720,220",46.3,46.53,45.955
08/19/2025,46.21,"5,597,386",46.05,46.57,45.91
08/18/2025,46.11,"5,893,264",45.81,46.155,45.7225
08/15/2025,45.93,"8,995,800",46.96,47.09,45.93
08/14/2025,46.83,"6,181,108",46.27,46.87,45.98
08/13/2025,46.61,"10,438,170",45.81,46.695,45.62
08/12/2025,45.77,"8,836,797",44.98,45.8,44.86
08/11/2025,44.56,"7,201,919",44.83,45.07,44.34
08/08/2025,44.86,"6,066,978",44.5,44.94,44.145
08/07/2025,44.09,"5,412,578",44.87,44.88,43.955
08/06/2025,44.44,"5,854,668",44.7,44.76,44.41
08/05/2025,44.56,"8,020,591",44.6,44.705,43.83
08/04/2025,44.42,"6,515,792",44.07,44.495,43.985
