date,close,volume,open,high,low
05/15/2026,325.75,"6,054,523",324.0,329.01,323.84
05/14/2026,322.52,"5,277,351",321.37,323.325,320.25
05/13/2026,320.31,"7,950,446",323.79,325.42,319.8
05/12/2026,326.42,"6,235,152",324.32,328.91,324.2
05/11/2026,323.86,"9,586,163",319.1,325.18,318.01
05/08/2026,318.79,"5,950,212",320.985,321.07,316.16
05/07/2026,321.28,"7,186,066",319.54,323.69,319.54
05/06/2026,318.8,"7,808,382",323.75,324.58,318.0
05/05/2026,322.03,"5,893,197",325.11,325.58,319.645
05/04/2026,326.85,"6,712,421",328.0,329.79,325.4
05/01/2026,328.03,"6,726,071",332.88,335.85,327.925
04/30/2026,329.84,"11,241,060",332.12,332.5,328.08
04/29/2026,334.86,"16,658,560",336.4,341.98,333.79
04/28/2026,309.3,"8,839,906",312.2,313.96,308.74
04/27/2026,309.65,"6,261,475",307.51,310.815,306.06
04/24/2026,309.42,"5,616,898",307.1,309.98,304.5
04/23/2026,308.88,"7,274,986",310.495,312.2,305.01
04/22/2026,311.29,"5,666,602",311.01,311.36,308.06
04/21/2026,309.94,"6,806,871",314.01,316.89,308.82
04/20/2026,313.94,"5,506,825",316.4,317.5486,312.35
04/17/2026,317.02,"8,082,341",316.6,319.44,315.18
04/16/2026,315.1,"5,695,849",316.35,318.0,314.57
04/15/2026,315.91,"4,831,444",313.0,316.73,311.52
04/14/2026,311.37,"5,571,023",308.47,312.12,307.49
04/13/2026,309.39,"6,787,248",303.93,309.75,302.34
04/10/2026,304.36,"5,190,038",308.71,309.0,303.51
04/09/2026,308.29,"4,811,480",308.0,309.58,303.59
04/08/2026,308.96,"6,879,288",307.73,311.08,307.7
04/07/2026,302.55,"4,413,857",302.44,304.981,301.12
04/06/2026,303.33,"5,501,001",300.74,304.42,299.46
04/02/2026,300.8,"4,376,048",297.8,302.4699,295.85
04/01/2026,298.51,"7,707,556",305.05,305.05,293.89
03/31/2026,302.24,"10,246,900",301.6,303.34,296.585
03/30/2026,299.54,"9,330,319",298.73,300.68,295.89
03/27/2026,295.52,"9,974,411",304.32,304.59,294.32
03/26/2026,305.53,"7,652,673",304.16,307.87,303.0
03/25/2026,304.91,"6,280,873",305.48,308.49,302.17
03/24/2026,303.76,"5,375,944",302.0,306.035,300.62
03/23/2026,304.44,"7,824,542",305.2,307.85,302.85
03/20/2026,301.62,"14,398,130",299.85,302.92,299.0101
03/19/2026,299.71,"6,826,379",298.04,302.465,297.0322
03/18/2026,299.02,"7,191,684",307.41,307.935,298.5
03/17/2026,308.46,"6,872,151",311.32,312.69,307.38
03/16/2026,310.11,"6,401,225",307.85,311.13,307.38
03/13/2026,307.14,"4,814,144",307.59,310.35,306.4201
03/12/2026,306.5,"7,514,907",308.14,310.95,306.019
03/11/2026,308.96,"6,385,139",313.25,315.08,308.39
03/10/2026,314.43,"5,271,347",315.43,317.13,311.45
03/09/2026,315.97,"8,381,514",313.46,316.4,310.15
03/06/2026,317.36,"6,439,709",316.045,317.69,312.3
03/05/2026,319.8,"8,276,075",319.33,322.8,314.77
03/04/2026,320.47,"5,257,934",321.44,325.77,319.8
03/03/2026,320.83,"5,474,282",315.805,322.04,314.35
03/02/2026,320.51,"6,674,915",315.5,322.6,314.595
02/27/2026,320.14,"12,412,890",314.46,320.23,311.95
02/26/2026,316.7,"8,725,506",314.48,319.42,313.94
02/25/2026,312.99,"7,624,212",308.55,313.94,308.25
02/24/2026,307.22,"9,120,236",305.5,309.265,303.08
02/23/2026,306.52,"13,047,970",319.04,320.515,304.705
02/20/2026,320.95,"6,831,437",318.11,322.35,317.82
02/19/2026,318.93,"5,967,559",317.49,320.2,315.73
02/18/2026,320.3,"7,092,280",319.5,322.28,316.72
02/17/2026,319.5,"8,591,680",314.41,321.38,314.41
02/13/2026,314.08,"11,653,920",323.83,326.475,312.82
02/12/2026,324.18,"9,392,613",328.89,332.24,324.0
02/11/2026,329.24,"8,264,294",326.92,331.038,326.42
02/10/2026,328.17,"5,801,843",324.71,329.88,324.55
02/09/2026,325.58,"8,513,414",330.76,332.82,323.62
02/06/2026,331.58,"7,798,819",331.78,335.125,327.1
02/05/2026,329.13,"8,339,033",333.0,337.59,328.82
02/04/2026,329.95,"8,472,261",327.11,331.31,324.415
02/03/2026,328.93,"9,081,171",331.65,335.79,328.87
02/02/2026,333.84,"8,502,426",324.83,334.69,324.105
01/30/2026,321.83,"11,199,090",332.22,333.0,321.6
01/29/2026,331.8,"10,214,230",330.0,333.36,323.51
01/28/2026,326.98,"8,105,960",326.73,328.39,324.88
01/27/2026,325.26,"6,365,803",328.475,328.93,324.91
01/26/2026,328.49,"7,540,150",328.0,332.0,325.03
01/23/2026,326.18,"5,667,908",325.86,327.8,324.62
01/22/2026,326.36,"6,938,702",326.46,328.39,324.0
01/21/2026,325.28,"8,974,643",326.43,328.67,323.0
01/20/2026,325.82,"8,279,909",322.225,328.32,321.56
01/16/2026,328.3,"8,341,619",326.78,329.25,325.4
01/15/2026,327.75,"8,587,654",329.33,331.69,326.37
01/14/2026,329.17,"9,388,417",328.66,329.9,323.94
01/13/2026,327.88,"20,383,500",337.0,337.52,323.83
01/12/2026,343.2,"13,281,280",342.78,346.51,337.32
01/09/2026,349.77,"4,903,262",352.16,354.6966,349.155
01/08/2026,352.23,"6,357,646",355.0,356.35,349.5
01/07/2026,355.88,"6,333,895",357.15,358.28,354.51
01/06/2026,357.56,"6,775,412",353.68,358.62,352.0
01/05/2026,353.8,"7,592,151",344.5,357.535,344.05
01/02/2026,346.48,"5,403,770",349.87,350.05,343.48
12/31/2025,350.71,"3,503,151",353.65,355.2,350.69
12/30/2025,353.62,"3,366,487",354.0,354.87,352.66
12/29/2025,354.61,"3,989,891",355.49,356.55,353.8
12/26/2025,355.0,"2,016,968",355.1,356.725,353.71
12/24/2025,355.14,"2,023,556",353.38,355.99,353.01
12/23/2025,353.38,"3,703,221",352.0,356.38,352.0
12/22/2025,352.09,"5,043,517",350.0,353.44,349.59
12/19/2025,349.25,"18,623,950",346.05,349.91,346.05
12/18/2025,346.01,"6,805,017",345.17,347.53,344.27
12/17/2025,344.41,"7,263,538",345.55,347.79,343.68
12/16/2025,345.11,"7,269,268",346.0,347.62,343.72
12/15/2025,346.89,"7,004,647",347.83,348.45,343.83
12/12/2025,347.83,"6,942,265",348.0,349.84,345.97
12/11/2025,345.63,"12,953,580",332.6,347.32,330.06
12/10/2025,325.73,"5,467,541",326.64,328.76,325.3
12/09/2025,326.5,"4,325,416",326.61,328.2254,325.07
12/08/2025,326.84,"6,059,427",329.88,331.34,324.71
12/05/2025,331.24,"5,266,948",326.83,334.11,326.3972
12/04/2025,327.1,"6,277,498",331.28,332.38,324.28
12/03/2025,329.61,"6,296,657",329.61,332.35,329.35
12/02/2025,329.62,"8,201,871",331.45,332.7999,327.21
12/01/2025,330.39,"7,082,250",332.94,333.3,330.14
11/28/2025,334.44,"4,586,242",333.43,335.015,332.0
11/26/2025,333.79,"4,309,894",334.53,335.71,333.055
11/25/2025,334.53,"5,854,254",328.9,336.06,328.9
11/24/2025,329.3,"9,337,124",329.24,330.73,326.0
11/21/2025,327.98,"8,929,964",325.38,331.0751,324.29
11/20/2025,323.77,"6,510,309",324.12,328.4,323.14
11/19/2025,324.12,"7,066,730",321.52,324.565,319.87
11/18/2025,321.18,"9,170,422",324.5,325.0,318.0
11/17/2025,325.75,"6,494,770",331.16,333.36,324.93
11/14/2025,330.02,"6,422,317",335.89,336.08,329.028
11/13/2025,336.08,"4,961,710",339.035,341.46,335.6
11/12/2025,338.88,"6,389,575",338.25,344.2599,337.4
11/11/2025,338.92,"4,453,262",335.5,339.09,333.2
11/10/2025,334.85,"5,295,841",336.65,338.68,334.32
11/07/2025,336.02,"5,318,383",336.725,338.285,334.85
11/06/2025,336.96,"8,507,904",338.59,338.65,333.71
11/05/2025,340.04,"4,984,599",340.13,342.11,336.36
11/04/2025,340.3,"5,920,151",336.48,340.32,334.25
11/03/2025,336.9,"5,537,953",341.0,341.21,334.82
10/31/2025,340.74,"7,301,556",342.08,343.0,338.17
10/30/2025,345.03,"6,411,843",342.22,349.715,341.79
10/29/2025,341.28,"8,361,652",346.0,350.98,339.0
10/28/2025,346.9,"7,445,361",348.58,349.89,346.5
10/27/2025,347.82,"5,400,264",349.0,349.52,345.01
10/24/2025,347.38,"3,576,694",348.2,349.08,345.32
10/23/2025,345.96,"7,217,225",346.2,347.147,344.46
10/22/2025,345.36,"5,074,406",347.82,348.17,344.5
10/21/2025,347.21,"4,121,756",343.12,349.65,343.0
10/20/2025,344.41,"4,665,032",341.9,344.96,338.94
10/17/2025,341.89,"6,267,130",337.77,343.45,337.0
10/16/2025,335.4,"6,241,506",345.0,345.69,334.17
10/15/2025,345.69,"3,778,198",348.38,350.075,344.0
10/14/2025,348.38,"5,731,348",341.0,350.01,340.22
10/13/2025,343.3,"4,030,682",343.72,347.66,340.73
10/10/2025,343.65,"6,296,169",347.63,350.4,343.25
10/09/2025,347.04,"4,434,799",351.47,352.87,345.582
10/08/2025,351.36,"3,927,524",353.78,355.0,351.1
10/07/2025,352.42,"5,044,597",350.06,354.44,350.06
10/06/2025,349.28,"4,735,635",350.01,351.12,344.35
10/03/2025,349.84,"5,199,681",346.11,353.1599,346.0
10/02/2025,345.95,"5,198,236",346.215,347.18,343.5565
10/01/2025,347.83,"8,380,965",340.31,349.36,340.31
09/30/2025,341.38,"8,164,773",339.82,345.61,338.51
09/29/2025,340.16,"7,218,209",337.38,340.64,335.55
09/26/2025,337.37,"9,619,547",337.23,339.5,336.23
09/25/2025,334.93,"5,398,713",338.35,340.2,334.51
09/24/2025,338.68,"5,207,430",339.13,339.9,337.92
09/23/2025,338.7,"10,142,660",344.59,345.255,337.63
09/22/2025,344.36,"5,621,798",339.01,344.86,338.66
09/19/2025,341.61,"13,674,340",340.45,342.69,338.25
09/18/2025,338.18,"7,526,597",344.73,345.27,338.18
09/17/2025,346.2,"5,763,537",339.94,346.2,339.52
09/16/2025,340.03,"5,527,730",336.24,340.54,333.47
09/15/2025,339.05,"4,367,547",340.61,342.71,338.39
09/12/2025,339.43,"3,518,310",341.22,343.19,339.17
09/11/2025,343.49,"5,157,593",338.73,343.53,337.87
09/10/2025,338.12,"6,557,868",342.61,342.61,336.44
09/09/2025,343.99,"4,646,187",341.69,346.32,341.29
09/08/2025,342.3,"4,711,571",342.34,344.382,341.0
09/05/2025,343.22,"5,448,341",351.375,352.6213,340.2
09/04/2025,350.99,"4,323,973",350.73,352.63,349.15
09/03/2025,350.87,"4,176,415",349.34,350.89,347.26
09/02/2025,350.07,"4,940,539",349.31,350.1675,346.08
08/29/2025,351.78,"3,671,901",350.46,352.63,349.0
08/28/2025,349.86,"4,987,541",350.6,351.04,348.6
08/27/2025,350.35,"5,531,127",350.71,353.425,349.84
08/26/2025,351.18,"5,876,224",348.69,353.4,347.445
08/25/2025,348.82,"8,020,043",349.61,350.72,347.5024
08/22/2025,350.04,"4,973,223",345.22,351.2,345.22
08/21/2025,343.69,"6,073,857",342.89,344.52,339.72
