date,close,volume,open,high,low
05/15/2026,27.9,"7,611,906",27.88,27.985,27.6
05/14/2026,27.88,"6,472,136",28.29,28.38,27.87
05/13/2026,28.21,"7,215,250",28.41,28.5,28.0709
05/12/2026,28.55,"8,033,374",29.0,29.0,28.54
05/11/2026,28.92,"7,553,449",28.93,29.07,28.625
05/08/2026,28.84,"5,218,376",28.87,29.12,28.75
05/07/2026,28.79,"9,162,861",28.55,28.865,28.45
05/06/2026,28.65,"5,883,878",28.35,28.845,28.34
05/05/2026,28.27,"7,550,735",28.12,28.365,28.03
05/04/2026,28.09,"9,545,516",28.415,28.6,27.97
05/01/2026,28.58,"10,303,260",29.2,29.36,28.26
04/30/2026,29.2,"16,600,510",28.95,29.51,28.61
04/29/2026,28.6,"12,037,660",28.53,28.815,28.51
04/28/2026,28.65,"6,627,928",28.65,28.75,28.335
04/27/2026,28.44,"5,899,344",28.42,28.75,28.38
04/24/2026,28.42,"6,289,461",28.47,28.63,28.32
04/23/2026,28.51,"4,751,306",28.34,28.53,28.2
04/22/2026,28.2,"5,577,638",28.54,28.57,28.045
04/21/2026,28.42,"8,909,732",28.82,28.975,28.42
04/20/2026,28.78,"6,483,090",28.91,29.0,28.565
04/17/2026,29.01,"8,705,006",28.47,29.13,28.4
04/16/2026,28.4,"7,788,997",28.15,28.42,28.11
04/15/2026,28.13,"5,573,537",28.29,28.33,27.954
04/14/2026,28.36,"6,403,669",28.28,28.45,28.17
04/13/2026,28.33,"7,097,775",28.03,28.33,27.885
04/10/2026,28.11,"4,125,859",28.075,28.24,27.95
04/09/2026,28.06,"8,345,863",27.63,28.29,27.61
04/08/2026,27.73,"9,827,338",27.92,28.0799,27.665
04/07/2026,27.83,"6,136,839",27.6,27.945,27.6
04/06/2026,27.66,"6,130,327",27.57,27.85,27.4744
04/02/2026,27.66,"5,618,494",27.5,27.72,27.29
04/01/2026,27.46,"7,912,021",27.32,27.53,27.19
03/31/2026,27.32,"7,783,203",27.42,27.57,27.135
03/30/2026,27.11,"8,839,535",26.74,27.34,26.74
03/27/2026,26.61,"8,590,234",27.12,27.23,26.55
03/26/2026,27.16,"5,935,598",27.06,27.4,26.99
03/25/2026,27.07,"7,564,865",27.395,27.49,26.97
03/24/2026,27.3,"9,992,982",26.95,27.48,26.82
03/23/2026,27.05,"11,009,700",27.35,27.395,26.92
03/20/2026,26.83,"15,368,070",27.96,27.98,26.755
03/19/2026,27.98,"8,227,051",27.62,28.1,27.572
03/18/2026,28.1,"16,686,120",28.49,28.6,28.06
03/17/2026,28.62,"9,949,345",28.81,29.005,28.62
03/16/2026,28.62,"9,174,787",28.82,29.03,28.61
03/13/2026,28.42,"9,599,831",28.98,29.085,28.385
03/12/2026,28.68,"9,192,086",28.33,28.94,28.165
03/11/2026,28.42,"15,285,780",29.1,29.18,27.96
03/10/2026,29.31,"7,529,359",29.41,29.705,29.26
03/09/2026,29.5,"10,246,580",29.34,29.605,28.93
03/06/2026,29.67,"6,845,189",29.6,29.67,29.312
03/05/2026,29.69,"8,515,522",29.61,29.8,29.495
03/04/2026,29.89,"7,970,643",30.1,30.215,29.73
03/03/2026,30.2,"9,751,221",30.17,30.355,29.585
03/02/2026,30.36,"7,328,110",30.08,30.445,29.81
02/27/2026,30.21,"14,681,600",29.78,30.485,29.67
02/26/2026,29.78,"19,714,900",29.805,29.94,28.92
02/25/2026,30.24,"7,417,103",30.23,30.3023,29.8235
02/24/2026,30.28,"5,566,262",30.15,30.33,29.95
02/23/2026,30.22,"8,691,152",30.15,30.46,30.01
02/20/2026,30.09,"10,798,680",29.95,30.155,29.7915
02/19/2026,29.87,"5,163,104",29.7,29.88,29.49
02/18/2026,29.72,"11,609,880",29.8,29.84,29.53
02/17/2026,29.86,"7,936,955",29.57,29.895,29.185
02/13/2026,29.3,"7,497,836",29.185,29.41,29.08
02/12/2026,29.06,"9,645,617",29.4,29.665,29.04
02/11/2026,29.17,"8,459,032",29.3,29.5,29.13
02/10/2026,29.25,"13,573,710",29.12,29.32,28.84
02/09/2026,29.06,"8,764,346",28.68,29.16,28.59
02/06/2026,28.76,"5,610,749",28.9,29.075,28.51
02/05/2026,28.74,"8,800,026",28.84,28.92,28.56
02/04/2026,28.85,"12,965,980",28.2,28.925,28.19
02/03/2026,28.05,"9,424,333",27.92,28.23,27.85
02/02/2026,27.95,"14,809,930",27.96,28.19,27.805
01/30/2026,28.08,"15,624,210",27.86,28.08,27.58
01/29/2026,28.11,"13,547,650",28.01,28.34,27.92
01/28/2026,27.89,"9,103,477",28.48,28.615,27.82
01/27/2026,28.5,"7,979,648",28.53,28.625,28.32
01/26/2026,28.51,"7,062,090",28.65,28.72,28.4128
01/23/2026,28.54,"9,379,332",28.21,28.6,28.18
01/22/2026,28.19,"7,437,495",28.33,28.6,28.14
01/21/2026,28.37,"12,269,330",28.87,28.951,28.255
01/20/2026,28.82,"11,476,570",28.83,28.98,28.5655
01/16/2026,28.98,"9,501,816",28.46,28.995,28.4
01/15/2026,28.42,"9,238,018",28.2,28.545,28.12
01/14/2026,28.15,"8,145,240",27.83,28.165,27.83
01/13/2026,27.81,"9,092,525",27.91,27.98,27.56
01/12/2026,27.89,"9,322,525",27.79,27.98,27.7
01/09/2026,27.76,"11,313,180",27.92,28.07,27.76
01/08/2026,27.86,"8,847,793",27.5,28.215,27.48
01/07/2026,27.56,"10,672,850",28.0,28.1026,27.545
01/06/2026,27.85,"23,564,820",28.03,28.075,27.605
01/05/2026,28.13,"20,166,260",28.1,28.4499,27.735
01/02/2026,28.15,"8,303,987",28.16,28.2555,27.76
12/31/2025,28.12,"7,817,570",28.29,28.3,28.09
12/30/2025,28.34,"6,630,274",28.23,28.4,28.23
12/29/2025,28.3,"6,431,104",28.22,28.31,28.13
12/26/2025,28.13,"4,764,093",27.95,28.15,27.88
12/24/2025,27.96,"5,211,502",27.8,28.0,27.79
12/23/2025,27.76,"12,408,170",27.86,27.88,27.59
12/22/2025,27.86,"14,371,530",27.64,27.9,27.56
12/19/2025,27.7,"24,121,130",28.18,28.18,27.65
12/18/2025,28.1,"16,031,690",28.34,28.39,28.05
12/17/2025,28.39,"28,634,600",27.9,28.395,27.88
12/16/2025,28.31,"16,615,640",28.61,28.72,28.28
12/15/2025,28.6,"14,537,200",28.72,28.77,28.07
12/12/2025,28.66,"11,927,430",28.29,28.82,28.29
12/11/2025,28.12,"12,216,380",27.8,28.14,27.79
12/10/2025,27.76,"14,648,250",27.78,27.9,27.72
12/09/2025,27.76,"21,776,470",27.95,28.12,27.63
12/08/2025,27.92,"15,862,920",27.88,27.99,27.685
12/05/2025,27.73,"16,346,470",27.96,28.19,27.665
12/04/2025,28.0,"13,809,890",28.22,28.285,27.94
12/03/2025,28.3,"12,220,800",28.4,28.64,28.115
12/02/2025,28.45,"23,515,070",28.65,28.685,28.175
12/01/2025,28.59,"14,828,660",28.625,28.625,28.38
11/28/2025,28.82,"6,014,341",28.83,28.975,28.79
11/26/2025,28.83,"10,995,890",28.8,29.075,28.725
11/25/2025,28.75,"15,698,920",28.86,28.965,28.62
11/24/2025,28.72,"21,901,120",28.89,28.995,28.575
11/21/2025,28.82,"23,203,000",28.91,29.075,28.71
11/20/2025,28.8,"17,181,410",29.29,29.4112,28.75
11/19/2025,29.15,"9,288,418",29.5,29.563,29.12
11/18/2025,29.57,"11,020,250",29.715,29.91,29.325
11/17/2025,30.13,"9,006,273",30.36,30.4,29.955
11/14/2025,30.36,"10,511,880",30.54,30.6,30.125
11/13/2025,30.45,"7,300,329",30.5,30.83,30.365
11/12/2025,30.58,"11,100,440",30.56,30.66,30.4
11/11/2025,30.63,"4,521,384",30.64,30.76,30.51
11/10/2025,30.43,"9,783,997",30.23,30.5865,30.07
11/07/2025,30.34,"8,661,116",29.92,30.375,29.85
11/06/2025,29.78,"7,974,499",30.12,30.3,29.755
11/05/2025,30.17,"10,367,460",30.38,30.48,30.06
11/04/2025,30.25,"9,400,157",30.27,30.305,29.99
11/03/2025,30.09,"10,116,650",29.8,30.19,29.7
10/31/2025,29.99,"12,147,630",29.29,30.215,28.96
10/30/2025,29.52,"11,161,180",29.755,29.89,29.37
10/29/2025,29.7,"18,979,480",30.24,30.28,29.505
10/28/2025,30.36,"14,329,840",30.88,30.88,30.305
10/27/2025,30.97,"7,498,848",31.12,31.18,30.88
10/24/2025,31.19,"5,885,189",31.51,31.69,31.19
10/23/2025,31.42,"8,748,134",31.38,31.58,31.135
10/22/2025,31.27,"11,718,340",31.27,31.52,31.2
10/21/2025,31.19,"8,781,994",31.17,31.3,31.06
10/20/2025,31.21,"9,732,433",31.0,31.27,30.89
10/17/2025,30.86,"7,112,206",30.88,31.05,30.57
10/16/2025,30.73,"8,571,148",31.34,31.475,30.55
10/15/2025,31.29,"6,211,930",31.06,31.38,30.98
10/14/2025,31.12,"5,395,237",30.93,31.25,30.9
10/13/2025,30.91,"6,241,995",30.855,31.1,30.81
10/10/2025,30.96,"7,893,829",31.16,31.2,30.835
10/09/2025,30.98,"9,397,681",31.53,31.6,30.75
10/08/2025,31.43,"9,575,749",31.9,31.98,31.365
10/07/2025,31.99,"8,514,696",32.25,32.33,31.73
10/06/2025,32.24,"6,579,099",32.52,32.5827,32.17
10/03/2025,32.63,"4,206,365",32.74,33.005,32.63
10/02/2025,32.75,"5,321,509",32.83,33.0,32.485
10/01/2025,32.91,"6,902,201",32.73,33.0,32.59
09/30/2025,32.61,"13,903,650",32.52,32.665,32.21
09/29/2025,32.56,"10,006,660",32.5,32.7,32.34
09/26/2025,32.47,"7,786,062",32.18,32.59,32.125
09/25/2025,32.04,"9,043,233",31.935,32.185,31.895
09/24/2025,31.89,"12,409,340",31.87,32.04,31.65
09/23/2025,31.93,"10,957,690",31.43,31.93,31.43
09/22/2025,31.43,"9,556,040",31.92,31.92,31.41
09/19/2025,31.84,"19,309,100",32.12,32.1499,31.79
09/18/2025,32.12,"6,776,882",32.15,32.25,31.98
09/17/2025,32.6,"11,692,290",32.7,33.09,32.525
09/16/2025,32.64,"7,866,973",33.09,33.165,32.615
09/15/2025,33.08,"6,068,241",33.15,33.24,33.015
09/12/2025,33.16,"5,162,339",33.19,33.31,33.04
09/11/2025,33.15,"7,248,244",33.1,33.385,33.08
09/10/2025,33.14,"6,106,716",33.13,33.31,33.02
09/09/2025,33.12,"9,045,924",33.3,33.34,32.99
09/08/2025,33.31,"10,604,700",33.51,33.65,33.16
09/05/2025,33.6,"5,766,513",33.55,33.82,33.48
09/04/2025,33.5,"7,529,336",33.61,33.83,33.36
09/03/2025,33.4,"7,174,704",33.38,33.505,33.25
09/02/2025,33.34,"6,308,952",33.52,33.745,33.18
08/29/2025,33.78,"7,845,770",33.6,33.915,33.52
08/28/2025,33.51,"7,280,262",33.76,33.7642,33.36
08/27/2025,33.75,"8,721,974",33.62,33.89,33.59
08/26/2025,33.45,"10,022,420",33.49,33.635,33.27
08/25/2025,33.5,"9,778,161",33.35,33.62,33.33
08/22/2025,33.4,"11,904,860",33.1,33.58,33.1
08/21/2025,32.96,"9,296,993",32.74,33.17,32.74
08/20/2025,32.97,"11,515,560",32.61,33.135,32.54
08/19/2025,32.47,"9,386,336",32.28,32.65,32.255
08/18/2025,32.2,"4,895,269",32.51,32.5894,32.191
08/15/2025,32.5,"8,748,203",32.67,32.69,32.47
08/14/2025,32.61,"5,101,144",32.81,32.86,32.57
08/13/2025,33.0,"8,763,886",33.0,33.095,32.86
08/12/2025,32.87,"6,125,888",32.88,32.98,32.67
08/11/2025,32.82,"6,093,809",32.9,33.08,32.79
08/08/2025,32.9,"4,523,995",33.05,33.2,32.87
08/07/2025,33.01,"6,726,408",33.12,33.2,32.84
08/06/2025,33.01,"6,687,060",33.7,33.72,32.95
08/05/2025,33.52,"7,546,687",34.01,34.01,33.45
08/04/2025,33.93,"7,436,315",33.21,33.98,33.165
08/01/2025,33.11,"8,682,420",32.96,33.25,32.62
07/31/2025,32.6,"8,837,227",32.87,33.05,32.44
07/30/2025,32.53,"5,558,177",32.87,33.16,32.42
07/29/2025,32.87,"5,425,087",32.6,32.92,32.51
07/28/2025,32.49,"6,285,887",33.29,33.43,32.485
07/25/2025,33.38,"5,276,412",33.41,33.5,32.8501
07/24/2025,33.41,"5,170,644",33.33,33.625,33.26
07/23/2025,33.46,"5,711,291",33.41,33.55,33.27
07/22/2025,33.45,"5,536,134",32.83,33.555,32.75
07/21/2025,32.75,"5,135,896",33.04,33.15,32.73
07/18/2025,32.9,"6,092,086",32.94,33.025,32.7
07/17/2025,32.84,"3,712,903",32.98,33.155,32.795
07/16/2025,33.03,"6,522,969",33.1,33.325,32.84
07/15/2025,33.08,"5,139,694",33.54,33.68,33.05
07/14/2025,33.6,"6,614,385",33.42,33.64,33.23
07/11/2025,33.42,"6,933,717",33.39,33.61,33.225
07/10/2025,33.63,"7,698,705",32.87,33.795,32.85
07/09/2025,32.95,"6,628,037",33.05,33.09,32.73
07/08/2025,33.01,"6,717,646",32.78,33.165,32.615
07/07/2025,32.88,"4,780,985",33.38,33.49,32.77
07/03/2025,33.43,"2,842,812",33.27,33.57,33.2
07/02/2025,33.31,"5,730,257",32.98,33.385,32.8
07/01/2025,32.98,"5,886,946",32.6,33.195,32.44
06/30/2025,32.6,"6,434,237",32.275,32.615,31.87
06/27/2025,32.28,"7,585,291",32.19,32.535,32.07
06/26/2025,32.19,"5,841,698",32.34,32.44,31.98
06/25/2025,32.26,"5,026,125",32.67,32.67,32.26
06/24/2025,32.81,"3,630,647",32.8,32.95,32.69
06/23/2025,32.81,"4,902,902",32.38,32.85,32.3
06/20/2025,32.27,"13,666,970",32.4,32.68,32.26
06/18/2025,32.33,"8,034,496",31.92,32.41,31.785
06/17/2025,32.32,"6,005,700",32.17,32.345,31.92
06/16/2025,32.14,"4,116,525",32.3,32.55,32.06
06/13/2025,32.12,"5,540,638",32.61,32.65,31.9218
06/12/2025,32.59,"5,234,394",32.49,32.62,32.3
06/11/2025,32.48,"7,661,466",32.445,32.84,32.285
06/10/2025,32.45,"4,479,139",32.1,32.465,32.02
06/09/2025,32.02,"5,213,184",31.45,32.0799,31.4
06/06/2025,31.47,"3,904,091",31.65,31.7599,31.28
06/05/2025,31.45,"6,945,520",31.42,31.56,31.12
06/04/2025,31.38,"4,155,394",31.74,31.82,31.38
06/03/2025,31.74,"4,270,641",31.72,31.91,31.51
06/02/2025,31.77,"4,293,981",31.62,31.77,31.235
05/30/2025,31.71,"10,947,070",31.62,31.85,31.435
05/29/2025,31.67,"4,336,102",31.46,31.8,31.335
05/28/2025,31.53,"4,505,643",31.71,31.77,31.415
05/27/2025,31.75,"5,866,143",31.69,31.88,31.52
05/23/2025,31.47,"5,210,416",31.27,31.56,31.02
05/22/2025,31.2,"5,618,081",31.37,31.37,31.01
05/21/2025,31.36,"7,719,419",31.91,31.98,31.32
05/20/2025,31.92,"4,051,209",32.0,32.1303,31.88
05/19/2025,32.15,"4,509,083",32.05,32.2,31.975
05/16/2025,32.1,"5,674,930",31.66,32.135,31.56
05/15/2025,31.63,"4,235,780",31.25,31.64,31.21
05/14/2025,31.1,"4,917,492",31.22,31.275,30.89
05/13/2025,31.36,"6,201,988",31.52,31.58,31.16
