date,close,volume,open,high,low
05/15/2026,250.74,"3,126,151",247.18,251.0,245.88
05/14/2026,244.77,"2,193,038",243.65,244.97,240.64
05/13/2026,244.1,"2,240,802",248.1,249.56,240.33
05/12/2026,247.12,"3,387,378",250.1,250.28,246.51
05/11/2026,248.13,"3,045,482",244.675,248.64,242.77
05/08/2026,241.06,"3,409,241",235.21,242.24,232.7835
05/07/2026,236.35,"3,826,249",232.0,236.37,227.25
05/06/2026,236.69,"4,444,319",242.725,243.84,234.68
05/05/2026,253.45,"2,829,484",251.56,255.51,249.65
05/04/2026,251.63,"2,844,030",248.88,252.78,244.9
05/01/2026,246.87,"2,480,432",250.4,253.96,243.51
04/30/2026,252.58,"3,529,509",245.88,253.25,243.02
04/29/2026,251.3,"3,673,544",243.69,251.9,242.12
04/28/2026,240.27,"2,528,331",241.19,241.9899,238.11
04/27/2026,238.25,"2,299,140",236.25,241.3,236.07
04/24/2026,235.85,"1,666,182",234.51,235.87,232.114
04/23/2026,233.83,"2,361,671",235.29,236.26,230.39
04/22/2026,234.36,"2,294,507",236.4,237.27,231.89
04/21/2026,233.39,"2,685,216",226.7,234.27,224.36
04/20/2026,226.28,"3,302,051",224.52,228.609,223.23
04/17/2026,223.65,"6,989,060",228.19,229.0,214.71
04/16/2026,241.74,"1,925,190",235.0,242.65,235.0
04/15/2026,235.0,"2,286,874",234.09,236.5599,231.0275
04/14/2026,235.58,"2,830,074",242.6,242.6,234.791
04/13/2026,242.08,"2,772,454",243.16,243.305,237.781
04/10/2026,238.82,"2,896,884",233.83,239.07,230.2
04/09/2026,235.1,"3,905,419",240.09,245.555,233.12
04/08/2026,239.64,"5,313,912",235.0,241.65,231.89
04/07/2026,251.49,"3,611,687",245.91,254.55,245.71
04/06/2026,245.58,"1,486,934",242.47,245.65,239.45
04/02/2026,244.09,"2,669,334",248.6,250.72,241.0
04/01/2026,241.46,"5,062,262",242.75,245.01,235.69
03/31/2026,247.08,"3,743,951",249.78,254.91,242.55
03/30/2026,250.27,"4,123,829",255.69,258.4299,248.43
03/27/2026,254.32,"4,529,957",247.86,255.97,246.07
03/26/2026,248.14,"4,151,069",235.24,249.11,235.0001
03/25/2026,234.54,"4,480,863",238.9,243.745,234.27
03/24/2026,241.75,"3,678,286",238.74,246.2553,236.3
03/23/2026,237.39,"3,904,510",232.25,241.445,231.2001
03/20/2026,239.86,"19,803,130",243.21,244.74,237.94
03/19/2026,242.07,"4,205,508",241.78,247.73,240.57
03/18/2026,238.46,"3,527,511",239.31,242.5598,236.74
03/17/2026,235.96,"2,500,782",234.5,237.8899,232.3487
03/16/2026,232.57,"2,648,708",232.59,234.97,230.0001
03/13/2026,230.59,"4,087,991",232.26,235.7,230.3
03/12/2026,235.81,"4,989,950",232.39,240.27,230.84
03/11/2026,231.05,"3,765,533",218.63,231.23,218.63
03/10/2026,217.02,"3,952,895",216.01,220.91,213.83
03/09/2026,215.95,"6,476,277",226.37,226.37,214.1107
03/06/2026,224.63,"4,337,267",226.97,230.491,221.315
03/05/2026,228.03,"6,142,430",229.5,232.99,223.32
03/04/2026,225.6,"4,221,400",217.25,225.96,216.44
03/03/2026,217.71,"5,393,748",218.99,221.945,210.7618
03/02/2026,214.91,"5,489,283",214.99,216.18,207.49
02/27/2026,204.64,"2,993,523",203.955,205.03,199.1
02/26/2026,203.79,"2,343,372",198.0,205.99,196.88
02/25/2026,199.64,"2,260,935",200.47,200.68,195.37
02/24/2026,199.33,"1,896,747",197.41,199.5,194.5759
02/23/2026,197.39,"2,016,567",200.63,204.26,195.7
02/20/2026,200.76,"1,979,139",198.54,201.7878,198.0
02/19/2026,199.24,"2,187,636",200.4,201.23,196.6
02/18/2026,199.46,"2,052,493",199.55,200.4399,196.985
02/17/2026,197.34,"2,203,840",201.35,204.25,195.77
02/13/2026,200.17,"2,170,723",196.95,201.505,195.99
02/12/2026,196.91,"3,189,466",204.08,206.77,195.71
02/11/2026,203.92,"2,918,230",203.17,204.33,200.51
02/10/2026,199.5,"2,033,914",200.25,201.0,197.75
02/09/2026,201.38,"1,948,958",202.92,204.14,199.9
02/06/2026,202.68,"2,871,170",195.88,203.135,194.5
02/05/2026,194.14,"2,376,744",192.63,194.8799,190.1101
02/04/2026,197.41,"4,467,440",193.28,198.36,193.24
02/03/2026,192.27,"5,522,905",182.61,193.04,180.96
02/02/2026,180.22,"2,781,348",178.07,181.5,176.5
01/30/2026,181.43,"3,295,531",183.155,183.155,177.91
01/29/2026,182.49,"6,555,785",191.77,194.5,182.0
01/28/2026,184.02,"2,756,661",184.93,186.77,182.55
01/27/2026,182.91,"2,359,774",184.73,185.8,181.14
01/26/2026,183.28,"3,370,914",188.67,189.8699,181.53
01/23/2026,187.09,"2,846,647",189.49,194.35,186.87
01/22/2026,186.89,"2,951,476",187.58,189.31,185.365
01/21/2026,188.19,"3,130,279",187.98,193.3325,187.33
01/20/2026,184.73,"2,689,758",184.55,186.985,183.1
01/16/2026,183.46,"2,374,371",184.995,186.3,182.85
01/15/2026,184.58,"2,172,178",184.5,186.56,183.2601
01/14/2026,186.51,"3,963,037",183.26,189.95,181.69
01/13/2026,181.74,"3,100,345",182.32,185.0,179.88
01/12/2026,179.62,"3,368,490",185.36,185.59,178.34
01/09/2026,185.28,"5,472,876",191.49,191.845,182.61
01/08/2026,191.32,"5,961,729",184.11,192.0,181.01
01/07/2026,183.86,"7,565,724",184.36,187.6499,183.07
01/06/2026,178.27,"5,332,954",182.7,184.07,177.248
01/05/2026,180.57,"9,056,477",179.69,184.98,177.51
