date,close,volume,open,high,low
05/15/2026,84.83,"2,395,528",85.62,86.42,84.45
05/14/2026,85.27,"2,281,170",85.85,86.44,85.0
05/13/2026,85.85,"2,513,307",86.04,86.605,85.11
05/12/2026,86.73,"1,743,736",86.61,87.3754,85.935
05/11/2026,86.57,"1,959,169",86.71,87.63,85.95
05/08/2026,86.84,"2,049,224",88.84,88.84,86.27
05/07/2026,88.73,"2,659,180",86.71,89.445,86.64
05/06/2026,86.88,"1,561,158",88.4,89.01,86.64
05/05/2026,88.13,"1,560,794",88.06,89.51,87.68
05/04/2026,88.24,"2,078,285",87.37,88.47,86.85
05/01/2026,87.63,"1,587,116",88.77,89.32,87.255
04/30/2026,88.2,"2,877,143",89.77,90.79,87.83
04/29/2026,89.47,"3,282,463",88.71,92.525,87.58
04/28/2026,85.6,"2,801,612",87.75,88.13,85.46
04/27/2026,87.15,"3,175,673",88.48,89.245,85.98
04/24/2026,88.62,"1,165,018",88.45,89.01,87.96
04/23/2026,88.79,"1,509,980",89.2,89.2,87.19
04/22/2026,89.0,"1,543,702",89.96,90.53,88.97
04/21/2026,89.68,"1,317,363",90.38,91.58,89.66
04/20/2026,90.29,"1,498,926",90.86,91.689,90.15
04/17/2026,90.98,"2,060,352",91.3,92.754,90.89
04/16/2026,90.54,"1,632,042",92.12,92.5,90.24
04/15/2026,92.32,"1,562,722",92.41,92.48,91.595
04/14/2026,92.39,"2,169,071",91.25,92.64,90.435
04/13/2026,90.85,"1,345,369",89.33,91.07,88.455
04/10/2026,89.5,"1,757,230",89.6,89.6,88.519
04/09/2026,89.62,"1,926,380",89.89,90.31,88.87
04/08/2026,90.47,"1,875,038",89.7,90.66,89.46
04/07/2026,88.82,"1,549,509",88.54,89.425,88.15
04/06/2026,88.73,"1,436,279",88.01,88.9,87.74
04/02/2026,88.01,"1,782,555",87.52,88.77,87.08
04/01/2026,88.06,"1,537,575",87.3,88.57,87.08
03/31/2026,88.42,"2,847,566",87.11,89.015,86.54
03/30/2026,86.01,"1,900,822",85.96,86.86,85.28
03/27/2026,85.03,"2,127,932",86.25,86.72,84.99
03/26/2026,86.39,"3,114,131",86.52,88.4,86.09
03/25/2026,87.11,"2,027,261",87.9,88.47,85.625
03/24/2026,86.86,"1,494,656",87.52,88.175,86.84
03/23/2026,88.5,"2,987,208",89.93,90.15,88.47
03/20/2026,88.63,"5,717,969",89.54,89.625,87.99
03/19/2026,89.66,"1,415,549",89.49,90.285,88.61
03/18/2026,89.99,"1,412,309",90.45,91.27,89.91
03/17/2026,90.99,"1,463,616",92.0,92.1,90.77
03/16/2026,91.21,"1,245,116",91.04,91.92,89.96
03/13/2026,90.2,"1,074,245",90.61,90.805,89.7501
03/12/2026,89.76,"1,697,385",91.25,91.74,89.71
03/11/2026,91.37,"1,422,168",91.65,91.93,90.56
03/10/2026,91.79,"1,673,542",93.71,94.03,91.33
03/09/2026,94.06,"1,527,489",93.74,94.515,91.705
03/06/2026,94.33,"1,508,139",92.81,94.435,92.554
03/05/2026,95.19,"2,095,023",94.01,96.15,93.58
03/04/2026,94.7,"1,683,590",95.335,95.72,94.47
03/03/2026,95.64,"1,534,538",96.28,96.28,95.01
03/02/2026,97.22,"1,448,708",96.51,97.8,95.82
02/27/2026,97.43,"2,470,531",97.14,97.875,96.15
02/26/2026,98.02,"2,342,167",95.26,98.08,94.9625
02/25/2026,94.37,"1,974,013",93.74,94.4,92.95
02/24/2026,93.65,"2,185,364",92.62,93.91,92.2
02/23/2026,92.6,"2,361,373",92.72,93.24,91.37
02/20/2026,93.08,"2,730,318",93.7,94.61,92.33
02/19/2026,93.98,"1,748,718",94.08,95.45,93.05
02/18/2026,94.28,"2,603,335",92.28,94.42,91.61
02/17/2026,92.2,"2,491,153",93.84,94.72,91.8
02/13/2026,92.54,"1,594,995",92.26,93.35,92.2432
02/12/2026,91.98,"2,386,024",95.07,95.525,91.64
02/11/2026,95.0,"3,285,257",92.72,95.56,92.72
02/10/2026,92.81,"2,969,456",92.15,93.59,92.07
02/09/2026,92.69,"3,589,230",90.8,93.4075,90.59
02/06/2026,90.57,"3,373,408",90.99,92.42,89.58
02/05/2026,90.79,"3,695,003",91.34,91.75,88.82
02/04/2026,91.41,"6,462,637",97.32,97.46,88.4
02/03/2026,97.45,"2,305,513",100.23,100.95,97.05
02/02/2026,101.48,"1,915,935",98.94,101.5,98.49
01/30/2026,98.98,"1,531,044",99.07,99.07,97.77
01/29/2026,98.67,"1,749,817",99.21,100.0,97.08
01/28/2026,98.72,"1,980,241",100.02,100.49,98.185
01/27/2026,100.56,"1,106,877",102.06,102.68,100.52
01/26/2026,101.89,"1,568,522",101.27,102.08,100.39
01/23/2026,101.31,"1,277,510",101.83,101.9583,100.87
01/22/2026,101.48,"1,577,118",102.12,102.52,101.19
01/21/2026,101.91,"1,494,254",101.39,102.25,100.56
01/20/2026,101.11,"1,173,692",101.9,102.32,100.77
01/16/2026,102.67,"1,418,767",102.66,103.415,101.97
01/15/2026,103.18,"1,036,486",102.72,103.18,101.9211
01/14/2026,102.3,"1,572,665",101.45,102.36,100.96
01/13/2026,101.77,"1,121,262",101.88,101.91,100.53
01/12/2026,101.9,"1,138,907",102.3,103.08,101.56
01/09/2026,102.73,"1,183,697",101.73,102.99,101.23
01/08/2026,101.74,"1,108,107",100.07,102.15,100.07
01/07/2026,100.31,"1,107,652",101.0,101.4799,100.0
01/06/2026,99.94,"1,139,281",98.39,100.08,98.2
01/05/2026,99.19,"1,210,727",97.96,99.95,97.5
01/02/2026,98.5,"1,124,451",99.22,99.605,97.9
12/31/2025,99.78,"866,172",101.14,101.49,99.7
12/30/2025,101.36,"846,369",101.22,101.67,101.05
12/29/2025,101.5,"1,826,013",102.2,102.55,101.095
12/26/2025,101.75,"801,063",102.46,102.72,101.21
12/24/2025,102.29,"616,665",102.49,102.72,101.8
12/23/2025,102.64,"1,293,302",102.06,102.69,101.25
12/22/2025,102.01,"1,637,104",100.49,102.06,100.17
12/19/2025,100.59,"5,885,554",100.44,100.82,99.47
12/18/2025,100.77,"1,972,479",100.21,101.745,99.89
12/17/2025,100.05,"2,789,217",99.02,100.43,98.655
12/16/2025,99.34,"2,202,868",100.84,101.075,98.42
12/15/2025,100.28,"2,257,006",99.35,100.47,98.67
12/12/2025,98.71,"1,276,168",99.59,99.59,98.17
12/11/2025,98.73,"1,489,210",98.06,99.36,97.8
12/10/2025,97.75,"1,692,296",96.92,98.37,96.92
12/09/2025,98.41,"1,381,429",99.56,99.71,98.19
12/08/2025,99.62,"1,519,461",101.94,101.94,99.4
12/05/2025,102.16,"962,929",102.64,103.37,101.6
12/04/2025,102.89,"1,953,755",102.51,104.09,102.48
12/03/2025,102.18,"1,074,736",102.04,103.36,102.02
12/02/2025,101.8,"2,030,045",101.42,102.47,100.96
12/01/2025,100.97,"1,438,805",100.42,101.95,100.15
11/28/2025,101.22,"759,660",101.68,101.9799,101.05
11/26/2025,101.27,"1,708,274",103.87,103.87,100.94
11/25/2025,103.96,"2,780,560",100.675,104.33,100.675
11/24/2025,98.14,"4,783,739",98.64,98.845,97.46
11/21/2025,98.98,"2,183,763",97.68,99.64,97.46
11/20/2025,97.29,"1,565,261",98.83,99.31,97.07
11/19/2025,98.26,"1,529,292",97.61,98.58,97.11
11/18/2025,97.8,"1,652,740",97.53,98.365,97.2
11/17/2025,98.07,"1,698,914",98.77,99.15,97.75
11/14/2025,98.78,"1,546,927",98.99,99.4775,97.84
11/13/2025,98.56,"2,049,313",97.56,99.25,97.0102
11/12/2025,97.73,"1,540,465",98.11,98.75,97.51
11/11/2025,97.89,"1,735,890",98.26,98.59,97.66
11/10/2025,98.26,"1,526,939",98.76,99.0,97.69
11/07/2025,98.61,"1,669,869",98.75,99.18,97.87
11/06/2025,98.52,"1,383,662",99.57,100.6,98.3
11/05/2025,99.92,"1,902,480",99.91,100.29,99.03
