date,close,volume,open,high,low
05/15/2026,267.83,"954,729",271.5,274.3999,266.75
05/14/2026,275.09,"850,674",276.6,278.23,274.69
05/13/2026,274.54,"1,229,147",277.89,280.057,272.84
05/12/2026,279.33,"900,254",282.22,282.625,277.84
05/11/2026,282.7,"928,212",283.49,284.54,279.81
05/08/2026,283.72,"1,022,437",290.54,291.04,282.8
05/07/2026,288.93,"792,797",297.49,298.745,288.89
05/06/2026,295.72,"875,795",296.84,298.35,293.63
05/05/2026,291.51,"676,580",288.93,294.8,288.6101
05/04/2026,287.72,"1,427,741",293.13,295.18,286.8
05/01/2026,297.32,"970,101",303.16,303.18,295.01
04/30/2026,301.74,"1,611,361",295.825,303.98,293.97
04/29/2026,296.08,"2,056,377",303.12,306.3,294.975
04/28/2026,291.46,"1,295,980",291.79,292.57,287.055
04/27/2026,291.32,"1,164,423",291.13,295.51,289.67
04/24/2026,292.07,"699,455",291.08,294.36,289.4
04/23/2026,292.71,"605,398",291.83,294.15,287.995
04/22/2026,290.11,"656,446",293.65,295.49,289.15
04/21/2026,290.72,"592,938",295.12,296.71,290.1
04/20/2026,294.77,"556,873",290.58,295.85,289.81
04/17/2026,291.71,"960,060",289.22,297.505,288.32
04/16/2026,285.78,"736,568",291.59,293.06,284.5
04/15/2026,291.25,"793,007",296.0,296.29,290.59
04/14/2026,296.86,"591,261",297.58,299.4899,296.48
04/13/2026,297.15,"724,407",293.71,297.57,289.62
04/10/2026,295.48,"780,379",293.98,295.8,292.04
04/09/2026,293.02,"702,795",290.73,294.81,288.78
04/08/2026,292.58,"1,103,630",288.67,294.41,288.63
04/07/2026,277.85,"1,401,677",279.36,280.5391,275.665
04/06/2026,281.63,"1,056,866",279.0,281.84,276.11
04/02/2026,279.88,"1,418,195",276.29,284.53,275.42
04/01/2026,280.13,"1,964,376",273.6,282.33,273.54
03/31/2026,272.3,"1,988,084",267.88,273.71,264.55
03/30/2026,266.94,"2,453,134",265.53,268.03,261.95
03/27/2026,261.46,"1,039,627",266.54,266.78,260.92
03/26/2026,266.54,"1,186,502",267.31,271.86,265.81
03/25/2026,269.53,"1,121,315",270.97,271.66,263.59
03/24/2026,266.7,"1,699,349",260.43,270.94,258.66
03/23/2026,263.75,"1,312,015",264.78,267.08,261.65
03/20/2026,258.4,"2,709,042",257.85,259.49,254.85
03/19/2026,257.02,"1,060,498",254.15,257.42,252.35
03/18/2026,257.86,"1,354,868",263.74,263.74,257.41
03/17/2026,265.46,"747,759",268.55,269.74,264.225
03/16/2026,265.95,"1,160,589",269.4,271.09,265.485
03/13/2026,265.42,"2,019,080",265.32,269.32,263.36
03/12/2026,263.81,"2,890,120",263.12,267.81,255.0
03/11/2026,266.6,"1,348,244",270.44,271.18,265.95
03/10/2026,272.0,"1,217,143",273.5,275.13,269.99
03/09/2026,274.33,"1,866,733",271.81,274.33,266.81
03/06/2026,274.99,"1,535,754",281.54,282.7,273.87
03/05/2026,287.23,"1,693,935",291.34,293.48,281.35
03/04/2026,295.98,"1,308,374",297.33,297.885,292.5543
03/03/2026,300.0,"1,095,033",301.97,302.4,294.725
03/02/2026,306.2,"1,162,059",306.85,308.51,301.66
02/27/2026,310.0,"1,792,043",305.71,311.77,304.68
02/26/2026,308.99,"945,673",307.0,309.74,305.45
02/25/2026,305.53,"1,345,920",318.6,319.15,305.275
02/24/2026,317.89,"1,347,679",311.81,318.1,309.52
02/23/2026,310.79,"1,284,040",303.02,311.14,300.49
02/20/2026,305.29,"1,631,506",303.37,306.95,298.66
02/19/2026,302.85,"1,437,195",298.29,304.0,297.08
02/18/2026,299.36,"1,584,857",302.22,304.33,297.83
02/17/2026,302.22,"2,068,260",295.95,311.335,294.72
02/13/2026,327.65,"1,394,577",322.22,328.79,320.36
02/12/2026,321.92,"1,202,276",322.65,325.55,317.89
02/11/2026,319.78,"1,576,753",327.36,329.0119,319.28
02/10/2026,330.37,"948,210",328.12,331.09,325.4
02/09/2026,327.32,"1,093,776",322.07,327.89,321.52
02/06/2026,323.72,"992,677",315.0,324.56,312.2
02/05/2026,310.76,"1,428,156",312.64,314.84,307.88
02/04/2026,311.49,"1,581,702",313.3,314.05,306.6
02/03/2026,311.01,"1,427,460",307.72,318.67,307.629
02/02/2026,305.92,"991,479",301.83,307.46,301.83
01/30/2026,300.54,"976,963",297.01,301.0,295.84
01/29/2026,299.47,"698,816",302.12,303.81,296.255
01/28/2026,299.73,"697,591",297.83,300.39,295.59
01/27/2026,298.67,"520,982",300.99,301.36,297.71
01/26/2026,300.4,"500,280",301.43,302.45,298.93
01/23/2026,300.07,"659,323",302.11,304.65,297.95
01/22/2026,303.27,"938,605",301.48,306.59,298.085
01/21/2026,299.01,"972,711",298.82,301.0,294.99
01/20/2026,296.15,"1,054,268",304.84,304.84,296.06
01/16/2026,305.97,"757,959",300.86,306.855,300.86
01/15/2026,301.71,"818,764",301.63,304.71,299.9
01/14/2026,298.48,"1,592,569",305.5,309.95,297.74
01/13/2026,311.04,"1,080,268",309.01,311.36,302.88
01/12/2026,309.62,"846,128",310.94,313.37,308.1125
01/09/2026,311.62,"898,620",301.41,311.92,299.15
01/08/2026,299.13,"939,204",291.51,299.75,290.01
01/07/2026,292.12,"1,146,241",301.69,302.77,291.77
01/06/2026,299.85,"1,015,510",295.45,302.555,294.99
01/05/2026,296.67,"988,284",291.435,297.28,289.88
01/02/2026,292.65,"1,035,276",285.08,294.73,284.23
12/31/2025,285.22,"621,948",288.01,289.09,285.14
12/30/2025,288.88,"597,314",291.52,292.82,288.73
12/29/2025,292.02,"565,603",294.25,295.075,290.42
12/26/2025,294.2,"540,594",293.33,294.56,292.27
12/24/2025,293.64,"213,166",292.93,294.97,292.62
12/23/2025,292.84,"586,517",292.94,293.78,291.23
12/22/2025,291.88,"856,591",294.07,294.07,289.79
12/19/2025,291.87,"2,016,093",289.12,293.11,287.32
12/18/2025,288.34,"1,225,271",289.09,292.5,286.02
12/17/2025,285.41,"1,942,457",290.38,290.38,280.595
12/16/2025,292.01,"1,071,205",297.66,298.28,290.815
12/15/2025,296.68,"996,809",297.22,298.1029,295.09
12/12/2025,295.94,"983,460",299.4,300.165,292.49
12/11/2025,299.27,"900,179",297.92,303.75,296.815
12/10/2025,296.77,"727,795",290.49,297.485,289.57
