date,close,volume,open,high,low
05/15/2026,329.22,"856,359",328.21,333.94,328.21
05/14/2026,333.21,"1,089,591",335.07,340.95,331.69
05/13/2026,334.93,"1,233,783",350.27,350.66,333.11
05/12/2026,352.21,"1,263,983",349.95,353.165,342.7
05/11/2026,348.07,"1,074,386",357.45,357.45,345.26
05/08/2026,355.13,"1,814,064",349.12,356.99,339.15
05/07/2026,350.49,"2,014,720",350.965,355.98,341.58
05/06/2026,349.53,"1,865,311",344.0,353.53,341.185
05/05/2026,342.75,"2,131,047",338.09,347.99,334.01
05/04/2026,301.88,"1,025,878",304.6,307.83,298.91
05/01/2026,307.12,"781,810",310.8,312.2,304.275
04/30/2026,309.23,"1,173,513",294.68,309.57,294.68
04/29/2026,292.13,"1,269,634",299.36,302.41,287.19
04/28/2026,300.73,"1,072,398",301.51,303.58,296.27
04/27/2026,299.79,"1,155,441",307.53,311.3712,299.72
04/24/2026,309.87,"869,768",307.32,315.885,307.32
04/23/2026,311.2,"1,452,501",324.33,324.33,302.0
04/22/2026,334.38,"719,507",336.58,337.69,329.34
04/21/2026,335.23,"999,473",337.62,346.78,334.82
04/20/2026,335.61,"748,904",326.78,335.71,324.27
04/17/2026,327.77,"439,230",321.04,329.555,318.96
04/16/2026,319.04,"733,530",322.84,327.0,317.41
04/15/2026,326.2,"673,368",333.06,333.68,324.63
04/14/2026,330.98,"749,668",325.84,333.47,323.47
04/13/2026,324.68,"907,913",318.82,325.11,316.24
04/10/2026,320.0,"857,036",319.57,321.57,316.8
04/09/2026,317.65,"883,494",316.5,319.57,310.0
04/08/2026,318.53,"1,006,213",315.425,322.98,311.62
04/07/2026,307.38,"757,511",302.98,308.14,299.555
04/06/2026,304.09,"652,304",307.52,307.86,301.24
04/02/2026,304.24,"727,268",295.37,306.535,293.34
04/01/2026,299.89,"911,925",301.93,305.98,297.39
03/31/2026,297.8,"1,270,149",297.78,302.01,294.27
03/30/2026,293.37,"786,724",292.91,295.329,290.16
03/27/2026,289.16,"848,354",300.31,300.31,288.45
03/26/2026,300.56,"925,960",300.72,308.28,300.11
03/25/2026,302.32,"1,116,989",303.62,307.79,294.945
03/24/2026,301.92,"671,019",297.79,305.42,295.9
03/23/2026,301.81,"963,005",303.65,307.0,299.365
03/20/2026,298.99,"1,980,557",300.0,303.44,298.2173
03/19/2026,299.57,"1,223,949",293.77,302.16,293.77
03/18/2026,295.05,"962,728",299.48,299.48,291.33
03/17/2026,296.99,"1,500,454",292.81,300.28,292.15
03/16/2026,290.02,"712,956",286.0,294.11,284.075
03/13/2026,286.57,"975,515",285.48,288.85,282.77
03/12/2026,283.32,"1,349,745",293.54,296.8936,283.27
03/11/2026,297.54,"732,576",301.0,304.7,295.02
03/10/2026,299.63,"979,643",304.29,307.67,297.59
03/09/2026,305.67,"926,479",299.65,307.74,296.1
03/06/2026,302.54,"1,205,216",311.65,314.14,302.44
03/05/2026,315.59,"1,710,749",314.87,323.29,313.89
03/04/2026,319.04,"1,246,587",310.44,319.59,310.44
03/03/2026,312.14,"1,255,574",304.46,313.08,300.955
