date,close,volume,open,high,low
05/15/2026,26.98,"18,542,310",27.12,27.14,26.94
05/14/2026,27.12,"18,222,960",27.26,27.26,27.1
05/13/2026,27.25,"21,012,980",27.15,27.305,27.09
05/12/2026,27.2,"16,447,310",27.2,27.255,27.12
05/11/2026,27.24,"16,541,150",27.07,27.28,27.05
05/08/2026,27.11,"12,508,780",27.09,27.24,27.08
05/07/2026,27.12,"18,148,950",27.152,27.295,27.06
05/06/2026,27.2,"21,831,570",27.155,27.365,27.1
05/05/2026,27.22,"16,893,900",26.93,27.25,26.85
05/04/2026,26.96,"7,063,913",26.94,27.035,26.885
05/01/2026,26.97,"11,487,490",27.01,27.2,26.95
04/30/2026,27.05,"13,577,230",26.991,27.15,26.875
04/29/2026,27.05,"12,493,550",27.165,27.2,26.99
04/28/2026,26.95,"15,386,160",26.97,26.98,26.6
04/27/2026,26.82,"16,254,980",27.025,27.075,26.82
04/24/2026,27.07,"20,779,290",26.965,27.18,26.915
04/23/2026,26.9,"20,606,230",27.42,27.45,26.9
04/22/2026,27.33,"18,982,030",27.35,27.38,27.27
04/21/2026,27.31,"24,608,620",27.41,27.45,27.27
04/20/2026,27.42,"14,846,080",27.415,27.59,27.36
04/17/2026,27.47,"27,561,610",27.39,27.57,27.34
04/16/2026,27.39,"23,430,680",27.21,27.425,27.2
04/15/2026,27.2,"18,238,230",27.32,27.35,27.19
04/14/2026,27.37,"20,567,890",27.33,27.38,27.305
04/13/2026,27.39,"16,003,720",27.4,27.45,27.31
04/10/2026,27.44,"15,937,170",27.55,27.57,27.42
04/09/2026,27.53,"22,034,970",27.495,27.56,27.475
04/08/2026,27.55,"18,978,880",27.5,27.57,27.48
04/07/2026,27.37,"16,394,200",27.35,27.42,27.34
04/06/2026,27.41,"22,129,360",27.35,27.495,27.3101
04/02/2026,27.32,"16,930,560",27.34,27.435,27.29
04/01/2026,27.49,"30,772,170",27.31,27.76,27.281
03/31/2026,27.46,"39,795,620",27.17,27.49,27.08
03/30/2026,27.09,"25,401,640",27.14,27.17,27.0
03/27/2026,27.07,"22,482,590",27.09,27.14,26.86
03/26/2026,27.07,"25,750,710",27.16,27.22,27.07
03/25/2026,27.22,"26,247,240",27.28,27.29,27.12
03/24/2026,27.28,"29,087,570",27.35,27.44,27.25
03/23/2026,27.4,"29,999,910",27.74,27.74,27.365
03/20/2026,27.42,"52,492,760",27.59,27.6758,27.3301
03/19/2026,27.63,"27,478,100",27.355,27.695,27.29
03/18/2026,27.35,"36,512,620",27.42,27.78,27.22
03/17/2026,27.64,"23,256,640",27.34,27.8,27.34
03/16/2026,27.51,"29,756,200",27.28,27.56,27.19
03/13/2026,27.14,"26,623,770",27.49,27.52,27.02
03/12/2026,27.43,"23,863,380",27.71,27.81,27.4
03/11/2026,27.81,"21,258,570",27.76,27.925,27.745
03/10/2026,27.76,"18,009,140",27.74,27.95,27.69
03/09/2026,27.75,"24,402,690",27.85,27.935,27.71
03/06/2026,27.95,"23,266,610",27.76,27.99,27.67
03/05/2026,28.0,"25,042,280",27.9,28.0,27.81
03/04/2026,27.95,"37,695,910",28.14,28.19,27.93
03/03/2026,28.2,"30,850,310",28.3,28.4594,28.17
03/02/2026,28.5,"39,787,960",28.01,28.5,28.01
02/27/2026,28.17,"68,764,340",28.39,28.4,28.12
02/26/2026,28.8,"19,997,620",28.79,29.005,28.755
02/25/2026,28.9,"22,322,720",29.04,29.1,28.85
02/24/2026,29.15,"27,447,460",29.0,29.2,28.925
02/23/2026,28.92,"13,040,150",28.82,28.99,28.74
02/20/2026,28.75,"19,879,070",28.69,28.78,28.52
02/19/2026,28.53,"23,920,950",28.585,29.19,28.505
02/18/2026,28.79,"19,347,580",28.86,28.965,28.59
02/17/2026,28.75,"31,951,440",28.685,29.01,28.57
02/13/2026,27.99,"13,200,910",28.07,28.175,27.9
02/12/2026,28.11,"24,763,560",28.13,28.18,27.61
02/11/2026,27.99,"22,494,830",28.01,28.28,27.825
02/10/2026,27.8,"35,199,050",27.68,27.97,27.445
02/09/2026,27.21,"16,493,480",27.34,27.42,27.05
02/06/2026,27.36,"33,623,720",26.9,27.48,26.845
02/05/2026,26.76,"29,457,380",27.06,27.12,26.61
02/04/2026,27.03,"27,564,720",27.2,27.26,26.86
02/03/2026,27.19,"17,516,090",27.505,27.62,27.02
02/02/2026,27.52,"20,979,160",27.52,27.87,27.49
01/30/2026,27.54,"24,238,630",27.55,27.785,27.355
01/29/2026,27.6,"29,227,180",28.19,28.25,27.56
01/28/2026,27.98,"17,167,020",28.09,28.275,27.92
01/27/2026,28.07,"21,571,860",28.245,28.31,28.06
01/26/2026,28.24,"18,891,790",28.46,28.52,28.2
01/23/2026,28.58,"19,187,980",28.26,28.605,28.25
01/22/2026,28.36,"11,295,240",28.5,28.695,28.33
01/21/2026,28.53,"22,103,960",28.32,28.72,28.2
01/20/2026,28.24,"31,171,940",28.48,28.835,28.07
01/16/2026,28.58,"27,279,520",28.64,28.78,28.5
01/15/2026,28.49,"23,194,450",28.71,28.854,28.4
01/14/2026,28.63,"29,095,980",29.005,29.2,28.58
01/13/2026,28.86,"31,100,520",28.3,29.5,28.26
01/12/2026,28.4,"21,925,130",28.48,28.6799,28.25
01/09/2026,28.885,"37,766,560",28.315,29.04,28.29
01/08/2026,28.32,"22,673,290",28.46,28.51,28.05
01/07/2026,28.59,"24,586,650",28.29,28.77,28.22
01/06/2026,28.47,"18,278,570",28.5,28.58,28.35
01/05/2026,28.53,"26,513,990",28.555,28.92,28.435
01/02/2026,28.51,"27,761,750",28.79,28.85,28.4125
12/31/2025,28.82,"11,944,450",28.77,28.96,28.72
12/30/2025,28.94,"17,728,390",28.72,29.03,28.71
12/29/2025,28.79,"21,391,990",28.795,29.095,28.7
12/26/2025,28.8,"26,961,290",28.63,28.925,28.62
12/24/2025,29.23,"17,273,110",29.0,29.33,29.0
12/23/2025,29.15,"49,960,460",28.755,29.27,28.732
12/22/2025,28.75,"45,999,490",28.845,28.98,28.47
12/19/2025,27.77,"136,466,100",27.8,28.5,27.58
12/18/2025,27.61,"67,719,590",28.35,28.38,27.405
12/17/2025,28.21,"70,350,810",28.552,28.85,28.19
12/16/2025,28.9,"85,661,490",29.46,29.51,28.71
12/15/2025,29.71,"53,940,460",29.835,29.92,29.5
12/12/2025,29.98,"45,678,440",29.88,30.0,29.75
12/11/2025,29.49,"43,468,350",29.44,29.72,29.35
12/10/2025,29.53,"103,651,300",28.975,29.81,28.855
12/09/2025,28.26,"106,789,400",27.46,28.34,27.37
12/08/2025,27.23,"167,058,200",27.64,28.165,26.84
12/05/2025,26.08,"198,872,300",25.45,26.1,24.98
12/04/2025,24.54,"38,315,610",24.165,24.57,24.045
12/03/2025,24.57,"22,786,510",24.24,24.74,24.1
12/02/2025,24.53,"46,583,770",24.25,24.755,24.03
12/01/2025,23.87,"36,016,920",23.815,24.12,23.64
11/28/2025,24.0,"19,985,530",23.795,24.2,23.65
11/26/2025,23.88,"40,581,550",23.165,23.91,23.165
11/25/2025,22.96,"31,113,350",22.85,23.58,22.585
11/24/2025,22.86,"50,601,160",22.945,23.3198,22.62
11/21/2025,23.17,"38,256,250",23.0,23.58,22.88
11/20/2025,22.88,"46,807,530",23.38,24.01,22.74
11/19/2025,23.09,"47,882,190",23.65,24.01,22.785
11/18/2025,23.69,"60,510,130",22.74,24.19,22.58
11/17/2025,22.74,"36,814,260",23.03,23.15,22.335
11/14/2025,23.03,"54,192,840",22.75,23.19,22.53
