date,close,volume,open,high,low
05/15/2026,125.01,"5,160,388",119.965,125.59,119.965
05/14/2026,118.75,"3,843,503",116.785,120.77,115.3
05/13/2026,116.5,"5,157,370",115.56,117.36,112.545
05/12/2026,118.62,"2,816,310",122.53,124.0,118.4801
05/11/2026,121.42,"3,709,459",126.75,128.98,120.55
05/08/2026,127.83,"4,252,775",125.7,127.885,123.16
05/07/2026,130.88,"6,015,541",125.72,133.36,125.72
05/06/2026,122.63,"4,683,143",126.85,127.295,121.09
05/05/2026,128.875,"3,859,214",127.225,128.97,124.31
05/04/2026,127.89,"3,460,863",127.33,131.0,126.19
05/01/2026,126.96,"6,019,453",129.09,131.0,121.24
04/30/2026,122.4,"5,604,349",120.31,122.57,117.68
04/29/2026,122.43,"3,254,201",120.0,122.5,117.97
04/28/2026,121.18,"3,716,133",120.305,123.37,119.74
04/27/2026,117.83,"4,306,950",117.66,120.69,117.025
04/24/2026,119.76,"5,528,948",117.0,119.77,114.36
04/23/2026,114.67,"8,491,063",115.38,119.21,113.57
04/22/2026,126.6,"4,368,061",129.8,132.7,125.61
04/21/2026,129.16,"3,595,105",128.01,133.045,126.48
04/20/2026,127.94,"6,523,861",124.01,128.02,124.01
04/17/2026,123.83,"5,053,143",127.99,128.785,122.23
04/16/2026,124.87,"4,356,264",129.89,132.14,123.8
04/15/2026,124.12,"3,813,627",120.155,124.66,118.26
04/14/2026,117.86,"3,906,700",119.12,122.13,116.77
04/13/2026,119.92,"5,674,404",114.3,121.455,113.77
04/10/2026,112.5,"6,944,317",113.05,114.25,110.49
04/09/2026,113.06,"11,055,320",115.59,117.4498,110.36
04/08/2026,119.17,"7,365,931",129.43,130.13,118.7
04/07/2026,127.51,"2,581,360",128.39,130.4,126.9
04/06/2026,129.72,"2,768,380",131.97,132.37,127.61
04/02/2026,132.26,"2,990,573",129.64,132.6869,127.3
04/01/2026,129.05,"4,398,661",129.825,131.01,125.02
03/31/2026,129.92,"3,318,934",128.88,131.41,127.38
03/30/2026,128.77,"3,590,087",124.6,129.92,124.6
03/27/2026,124.18,"3,639,577",127.23,127.375,122.3
03/26/2026,127.97,"5,233,421",127.29,130.3875,126.0
03/25/2026,127.07,"5,292,980",131.41,133.0,125.88
03/24/2026,129.29,"5,236,638",135.33,136.55,128.28
03/23/2026,137.06,"4,494,304",137.19,138.085,134.165
03/20/2026,135.96,"9,233,661",132.02,136.88,128.75
03/19/2026,133.38,"3,963,536",132.49,137.14,132.18
03/18/2026,132.29,"3,598,677",134.15,135.19,130.62
03/17/2026,135.17,"3,477,846",133.9,139.38,133.9
03/16/2026,133.63,"6,331,197",133.635,136.86,132.24
03/13/2026,133.09,"4,252,763",134.6,135.98,130.91
03/12/2026,134.14,"4,423,240",137.28,141.6,133.845
03/11/2026,137.84,"4,447,772",143.0,145.5,136.56
03/10/2026,142.49,"5,230,139",147.05,147.65,139.31
03/09/2026,148.14,"5,461,047",149.69,153.9,147.19
03/06/2026,151.04,"4,918,951",146.4,151.23,144.365
03/05/2026,147.18,"5,408,276",144.1,148.97,144.1
03/04/2026,143.04,"4,964,150",144.2,145.84,141.275
03/03/2026,143.61,"6,859,371",132.7,143.76,132.7
03/02/2026,134.01,"5,852,713",131.765,136.22,131.765
02/27/2026,133.76,"9,230,656",132.99,134.1,129.03
