date,close,volume,open,high,low
05/15/2026,109.16,"2,388,118",111.1,111.6,108.9
05/14/2026,111.64,"1,660,990",111.29,111.755,110.74
05/13/2026,112.2,"1,429,930",111.97,112.48,110.855
05/12/2026,112.58,"1,964,789",112.42,112.9,111.59
05/11/2026,112.77,"1,394,733",112.25,113.0,111.83
05/08/2026,111.66,"1,545,380",113.22,113.5582,111.37
05/07/2026,112.78,"1,704,495",113.59,113.9,112.57
05/06/2026,113.94,"1,982,966",115.16,115.4,113.62
05/05/2026,115.22,"2,923,611",114.53,117.0,114.53
05/04/2026,116.44,"2,171,798",116.74,117.93,115.98
05/01/2026,117.46,"1,885,809",117.89,119.21,117.436
04/30/2026,117.94,"2,648,857",115.25,118.19,114.74
04/29/2026,114.51,"1,519,683",115.31,115.835,114.2701
04/28/2026,115.78,"1,285,933",116.17,116.49,114.75
04/27/2026,115.12,"1,575,290",114.6,115.81,114.6
04/24/2026,114.6,"1,510,273",115.37,115.675,114.39
04/23/2026,115.57,"1,571,926",114.44,115.65,114.02
04/22/2026,113.38,"2,450,181",114.52,115.0,113.03
04/21/2026,113.58,"1,868,496",115.67,115.71,113.42
04/20/2026,115.14,"1,357,162",116.0,116.6788,114.76
04/17/2026,115.87,"1,246,725",115.32,116.02,114.3301
04/16/2026,116.43,"2,307,057",114.48,116.53,114.2
04/15/2026,114.85,"1,696,287",115.75,116.02,114.67
04/14/2026,116.5,"1,294,262",116.04,116.69,115.0
04/13/2026,116.32,"1,896,767",117.33,117.33,115.42
04/10/2026,117.54,"1,183,681",118.28,119.0875,117.36
04/09/2026,118.78,"1,922,007",117.21,119.62,116.51
04/08/2026,117.28,"1,814,401",115.74,117.31,115.28
04/07/2026,116.94,"1,679,157",116.66,118.17,116.66
04/06/2026,116.73,"1,349,287",117.16,117.94,116.63
04/02/2026,117.58,"1,563,278",116.67,117.885,116.17
04/01/2026,116.17,"1,916,777",115.28,116.8,115.09
03/31/2026,115.77,"3,371,311",115.85,115.85,114.31
03/30/2026,115.33,"1,666,468",115.78,116.225,114.975
03/27/2026,114.36,"1,873,613",114.15,115.085,113.4745
03/26/2026,114.02,"1,766,417",112.87,114.66,112.34
03/25/2026,112.72,"1,424,640",113.62,114.01,112.6
03/24/2026,113.08,"1,824,485",111.71,114.29,111.345
03/23/2026,112.05,"1,644,380",113.23,114.02,112.01
03/20/2026,112.18,"3,785,995",115.58,116.03,112.075
03/19/2026,115.64,"1,960,764",115.86,116.68,114.62
03/18/2026,115.85,"1,776,370",116.97,118.0,115.81
03/17/2026,117.29,"1,206,372",118.5,118.53,117.035
03/16/2026,117.9,"1,746,139",118.0,118.19,116.9
03/13/2026,117.35,"1,831,365",116.34,118.0,116.29
03/12/2026,115.05,"1,750,813",113.37,116.0106,113.01
03/11/2026,113.3,"1,370,977",114.37,114.57,112.92
03/10/2026,114.5,"2,951,222",114.93,115.8,114.01
03/09/2026,115.59,"2,170,584",115.83,115.93,114.44
03/06/2026,115.77,"1,636,867",115.52,116.36,114.38
03/05/2026,116.09,"3,070,025",116.67,116.87,115.13
03/04/2026,117.55,"2,835,964",116.06,117.6,115.525
03/03/2026,116.12,"2,354,630",115.02,117.11,114.01
03/02/2026,116.62,"1,862,277",116.38,117.22,116.31
02/27/2026,116.96,"2,392,520",115.96,117.3324,115.62
02/26/2026,115.79,"2,028,923",115.73,116.105,115.14
02/25/2026,115.42,"1,680,468",115.58,115.58,113.71
02/24/2026,115.9,"1,528,451",115.16,116.08,114.1
02/23/2026,115.8,"1,634,296",114.74,116.07,114.41
02/20/2026,114.34,"2,015,794",115.04,115.12,113.0
02/19/2026,114.22,"1,921,989",114.13,115.05,113.87
02/18/2026,113.72,"2,829,363",115.59,115.59,113.34
02/17/2026,115.45,"2,662,887",116.36,117.345,115.295
02/13/2026,115.79,"3,962,509",112.82,115.81,112.26
02/12/2026,114.03,"3,431,889",113.18,115.61,113.02
02/11/2026,113.13,"2,556,112",112.71,113.88,112.085
02/10/2026,112.92,"1,986,943",111.77,114.105,111.42
02/09/2026,111.32,"1,744,223",111.02,111.55,110.44
02/06/2026,111.42,"2,980,688",113.07,113.8552,110.74
02/05/2026,111.94,"4,899,709",116.52,116.52,111.79
02/04/2026,113.33,"3,417,343",112.78,113.96,112.37
02/03/2026,112.26,"2,567,697",109.9,112.45,109.6
02/02/2026,109.84,"2,703,657",110.81,111.38,109.1
01/30/2026,110.67,"3,270,210",110.17,110.92,109.06
01/29/2026,110.41,"3,225,527",110.35,111.45,109.51
01/28/2026,110.04,"1,727,981",109.95,110.87,109.74
01/27/2026,110.35,"2,364,783",109.63,110.78,109.31
01/26/2026,109.7,"2,614,839",109.95,110.66,109.32
01/23/2026,109.1,"3,547,558",109.11,109.225,107.87
01/22/2026,109.35,"2,264,671",109.6,110.11,108.09
01/21/2026,109.52,"1,888,035",109.9,110.29,108.4
01/20/2026,109.06,"2,842,857",108.36,109.35,107.565
01/16/2026,108.59,"1,638,105",107.58,108.8999,107.14
01/15/2026,108.16,"2,050,069",107.44,108.31,106.95
01/14/2026,107.07,"1,468,697",106.22,107.465,106.1
01/13/2026,105.96,"1,315,970",104.88,106.04,104.48
01/12/2026,105.0,"1,893,606",104.56,105.55,104.41
01/09/2026,104.65,"1,765,029",105.34,106.5099,104.555
01/08/2026,105.23,"1,749,397",105.19,106.83,104.955
01/07/2026,105.04,"1,618,842",106.52,106.64,104.645
01/06/2026,105.95,"2,039,129",105.57,106.2,105.075
01/05/2026,105.41,"3,238,263",105.94,106.09,104.0
01/02/2026,106.47,"1,898,778",105.67,107.31,104.866
12/31/2025,105.46,"1,295,513",105.96,106.0799,105.4
12/30/2025,106.09,"1,432,529",105.92,106.37,105.5901
12/29/2025,105.73,"1,288,374",105.79,106.39,105.62
12/26/2025,105.5,"869,038",105.42,105.68,104.955
12/24/2025,105.55,"616,728",105.19,105.59,104.92
12/23/2025,105.02,"1,530,599",105.01,105.61,104.54
12/22/2025,104.87,"2,119,941",103.28,104.99,103.0
12/19/2025,103.94,"4,767,952",105.27,105.815,103.91
12/18/2025,105.25,"2,097,872",104.84,105.75,104.62
12/17/2025,104.76,"1,897,409",104.4,104.98,103.95
12/16/2025,104.48,"2,144,523",105.66,105.825,104.23
12/15/2025,105.26,"2,288,391",104.12,105.359,104.0
12/12/2025,103.88,"2,801,128",103.0,104.25,102.95
12/11/2025,103.48,"1,958,680",103.59,104.95,103.055
12/10/2025,103.66,"1,863,210",104.41,104.7319,103.59
12/09/2025,104.64,"2,100,279",105.35,105.89,104.46
12/08/2025,104.76,"2,711,303",105.68,105.89,104.37
12/05/2025,105.71,"2,530,575",106.56,106.83,105.63
12/04/2025,106.28,"2,351,764",106.76,107.59,105.99
12/03/2025,107.29,"1,865,053",108.125,108.65,106.69
12/02/2025,108.09,"2,503,455",109.59,109.8485,107.78
12/01/2025,109.34,"2,231,781",111.64,111.96,109.28
11/28/2025,112.07,"1,040,283",112.41,112.66,111.94
11/26/2025,112.24,"1,324,877",111.62,112.405,111.49
11/25/2025,111.22,"1,975,386",111.13,111.92,110.5
11/24/2025,111.02,"2,078,343",110.98,111.5,109.98
11/21/2025,111.14,"2,455,349",111.15,111.98,110.76
11/20/2025,110.65,"2,041,777",110.49,111.34,110.25
11/19/2025,110.16,"2,334,331",111.47,111.535,109.25
11/18/2025,111.6,"2,139,031",112.32,112.61,111.49
11/17/2025,111.89,"2,013,662",111.5,111.9,111.27
11/14/2025,110.97,"2,121,214",111.25,111.49,110.19
11/13/2025,111.74,"1,794,291",111.97,112.35,111.105
11/12/2025,112.11,"2,356,864",112.14,112.285,111.36
11/11/2025,112.5,"2,033,258",112.47,113.0,112.075
11/10/2025,112.42,"2,188,104",112.64,113.0,111.13
11/07/2025,112.87,"1,822,328",111.24,112.94,111.01
11/06/2025,110.78,"2,469,040",112.23,112.75,110.69
11/05/2025,111.85,"1,894,647",111.99,112.31,111.0
11/04/2025,111.87,"2,232,879",111.38,112.08,110.81
11/03/2025,110.61,"3,186,491",110.81,111.025,109.405
10/31/2025,111.73,"4,117,310",112.16,112.27,110.64
10/30/2025,112.6,"4,611,928",115.47,115.47,111.145
10/29/2025,114.58,"2,692,712",115.89,116.34,114.5
10/28/2025,115.22,"2,915,815",116.87,116.89,115.16
10/27/2025,116.68,"2,116,129",116.09,116.79,115.075
10/24/2025,115.83,"1,916,642",116.15,116.63,115.435
10/23/2025,115.91,"1,277,689",117.64,117.8,115.57
10/22/2025,117.4,"1,862,009",116.9,118.185,116.3
10/21/2025,116.58,"2,243,183",117.67,118.0,116.09
10/20/2025,117.5,"1,983,347",117.5,117.835,116.9
10/17/2025,116.84,"1,899,632",116.42,117.18,115.97
10/16/2025,116.19,"2,592,341",117.24,118.095,116.04
10/15/2025,117.28,"1,868,812",116.48,117.48,116.465
10/14/2025,116.49,"1,993,651",115.64,117.2,115.18
10/13/2025,114.97,"1,329,852",114.5,115.7,114.5
10/10/2025,115.13,"1,477,626",114.29,115.625,113.87
10/09/2025,113.88,"1,472,930",115.24,115.63,113.84
10/08/2025,114.59,"1,457,538",115.65,115.65,114.165
10/07/2025,115.2,"1,731,119",114.75,115.9,114.535
10/06/2025,114.55,"1,389,168",113.94,114.6263,113.41
10/03/2025,113.29,"2,561,776",113.07,114.1,112.45
10/02/2025,112.03,"2,375,631",112.33,112.7,111.57
10/01/2025,112.99,"2,017,316",114.38,114.635,112.955
09/30/2025,114.59,"2,446,484",114.14,114.97,113.66
09/29/2025,114.22,"2,120,849",112.87,114.36,112.28
09/26/2025,112.85,"1,830,895",111.63,112.92,111.38
09/25/2025,111.24,"2,364,622",112.49,112.875,110.92
09/24/2025,112.02,"1,988,038",111.67,112.25,111.38
09/23/2025,111.76,"2,330,044",109.66,111.8,109.5
09/22/2025,109.86,"2,063,908",110.18,110.48,109.36
09/19/2025,110.12,"3,179,203",109.75,110.755,109.185
09/18/2025,109.47,"2,324,546",108.3,110.22,108.15
09/17/2025,109.26,"1,835,590",109.26,110.0,108.85
09/16/2025,108.69,"1,396,400",110.56,110.85,108.67
09/15/2025,110.97,"2,388,206",110.51,111.265,110.36
09/12/2025,110.52,"1,532,663",109.29,110.775,109.29
09/11/2025,109.72,"2,245,208",109.26,110.13,108.8
09/10/2025,109.39,"3,268,134",108.23,109.5,107.74
09/09/2025,107.56,"1,444,720",107.09,108.04,106.8164
09/08/2025,107.36,"2,444,010",107.52,107.65,106.65
09/05/2025,107.79,"1,615,472",107.45,107.98,107.04
09/04/2025,107.48,"2,968,302",107.67,108.22,106.97
09/03/2025,106.89,"2,145,569",105.7,106.94,105.5
