date,close,volume,open,high,low
05/15/2026,219.82,"2,192,808",221.43,222.13,219.29
05/14/2026,218.82,"3,436,212",217.68,219.35,217.0
05/13/2026,216.44,"2,172,953",215.0,216.75,213.29
05/12/2026,217.65,"1,848,880",215.99,219.95,214.885
05/11/2026,214.11,"2,122,565",215.45,215.79,212.15
05/08/2026,215.37,"2,630,665",220.87,221.68,214.97
05/07/2026,221.45,"1,616,848",220.0,222.35,219.19
05/06/2026,220.52,"1,723,311",223.09,223.74,220.01
05/05/2026,224.49,"1,670,241",227.11,227.44,223.76
05/04/2026,227.85,"1,404,788",227.1,229.82,225.62
05/01/2026,228.77,"1,347,010",234.55,235.62,228.285
04/30/2026,232.55,"3,191,256",230.91,234.96,230.745
04/29/2026,230.31,"2,645,066",225.98,230.93,223.17
04/28/2026,227.35,"2,361,791",228.87,229.51,226.205
04/27/2026,226.2,"1,749,051",228.97,230.37,225.71
04/24/2026,229.53,"1,491,674",232.82,234.5,228.795
04/23/2026,232.8,"2,506,558",225.9,233.47,225.41
04/22/2026,223.93,"1,760,938",223.65,225.63,222.86
04/21/2026,223.42,"1,938,796",224.0,224.425,222.51
04/20/2026,224.18,"1,581,922",223.56,225.605,223.16
04/17/2026,223.95,"2,389,840",223.76,224.2,221.51
04/16/2026,224.08,"2,130,250",226.5,228.1757,223.32
04/15/2026,224.93,"2,269,378",226.5,227.57,223.91
04/14/2026,227.09,"2,446,305",230.72,231.7399,225.5
04/13/2026,231.0,"2,313,788",230.23,231.02,228.175
04/10/2026,229.45,"1,375,651",231.88,233.31,228.11
04/09/2026,233.1,"1,605,719",231.78,234.4,230.87
04/08/2026,231.43,"2,494,557",230.5,231.62,225.0
04/07/2026,233.31,"1,380,744",234.23,235.73,232.5
04/06/2026,233.8,"1,066,935",234.38,235.2299,232.88
04/02/2026,235.42,"1,335,318",232.47,236.115,231.755
04/01/2026,231.0,"2,034,888",230.29,232.49,228.73
03/31/2026,229.79,"1,769,604",230.06,230.6,227.39
03/30/2026,229.96,"1,514,562",226.36,232.19,225.0
03/27/2026,225.06,"1,786,561",227.41,228.69,225.0
03/26/2026,226.51,"1,702,084",224.39,227.97,223.71
03/25/2026,224.85,"1,919,556",224.72,225.58,219.1
03/24/2026,224.94,"1,776,096",226.28,229.32,224.16
03/23/2026,227.53,"2,043,838",232.0,232.18,227.47
03/20/2026,231.24,"2,526,826",234.19,234.99,230.08
03/19/2026,233.83,"1,771,141",234.66,237.0,233.62
03/18/2026,233.79,"1,226,168",235.08,237.33,233.74
03/17/2026,236.05,"1,438,718",238.64,239.44,235.72
03/16/2026,236.96,"2,160,579",238.82,239.625,236.0
03/13/2026,238.53,"2,240,826",238.66,240.67,237.0596
03/12/2026,238.61,"2,579,908",236.18,242.24,235.25
03/11/2026,236.5,"1,631,537",235.17,237.4,234.05
03/10/2026,235.54,"2,660,067",244.62,244.64,234.71
03/09/2026,246.51,"3,293,112",243.37,247.98,242.74
03/06/2026,246.05,"3,528,206",245.07,248.13,244.49
03/05/2026,246.09,"3,801,071",242.63,246.45,240.55
03/04/2026,243.95,"2,413,104",241.76,244.51,240.5
03/03/2026,243.44,"2,151,863",242.52,244.88,238.215
03/02/2026,243.07,"2,501,564",241.83,244.611,240.33
02/27/2026,240.84,"2,612,816",235.89,241.23,235.19
02/26/2026,233.9,"2,455,420",229.67,233.98,227.55
02/25/2026,228.1,"2,230,029",229.22,229.89,227.07
02/24/2026,229.58,"2,641,678",230.73,234.232,229.36
02/23/2026,230.56,"2,157,228",229.53,231.83,229.4
02/20/2026,230.31,"2,388,962",233.68,234.05,229.72
02/19/2026,233.42,"2,343,414",235.5,238.46,233.02
02/18/2026,234.06,"1,694,384",235.22,235.24,231.13
02/17/2026,235.22,"3,053,518",233.48,238.56,232.93
02/13/2026,234.52,"3,085,205",231.03,236.505,230.11
02/12/2026,231.01,"2,803,911",234.98,236.4475,230.285
02/11/2026,234.66,"1,947,096",231.42,236.1,231.215
02/10/2026,231.72,"2,042,284",229.44,233.5,229.0
02/09/2026,230.5,"2,276,698",226.0,230.69,225.36
02/06/2026,226.79,"2,239,544",227.14,230.12,225.575
02/05/2026,226.6,"2,178,880",228.27,229.76,225.59
02/04/2026,226.43,"2,357,529",225.5,229.77,223.5831
02/03/2026,225.09,"2,683,644",221.67,227.07,221.23
02/02/2026,223.16,"2,157,750",222.78,223.28,220.66
01/30/2026,222.24,"2,878,158",222.7,222.87,218.125
01/29/2026,223.13,"4,107,100",228.62,231.98,220.84
01/28/2026,231.6,"3,086,724",229.88,232.72,228.5
01/27/2026,231.34,"2,310,084",229.28,231.45,228.04
01/26/2026,230.25,"2,106,125",229.45,231.1562,228.1484
01/23/2026,229.23,"1,659,320",229.09,229.87,227.49
01/22/2026,229.0,"2,766,026",226.48,229.61,226.42
01/21/2026,226.49,"3,847,512",221.495,226.57,221.06
01/20/2026,221.3,"1,900,452",221.18,222.395,218.45
01/16/2026,221.23,"1,885,531",219.0,221.42,218.74
01/15/2026,219.86,"1,650,383",218.46,219.94,216.04
01/14/2026,218.79,"1,839,539",215.45,218.8,215.45
01/13/2026,216.18,"1,765,132",218.33,218.78,214.84
01/12/2026,218.57,"2,019,183",221.44,221.44,218.305
01/09/2026,220.91,"1,992,350",219.6,222.27,218.93
01/08/2026,217.86,"1,800,474",215.095,219.17,215.095
01/07/2026,215.97,"1,804,143",219.95,220.33,215.9
01/06/2026,219.08,"1,818,854",218.58,220.9,216.5101
01/05/2026,219.44,"2,180,457",217.81,219.686,215.07
01/02/2026,218.4,"1,827,782",219.34,219.38,217.07
12/31/2025,219.71,"1,035,638",222.08,222.5,219.56
12/30/2025,222.12,"995,247",221.43,222.8,221.09
12/29/2025,222.29,"1,187,552",221.39,223.0,221.28
12/26/2025,221.1,"503,594",221.29,222.17,220.115
12/24/2025,221.36,"460,861",221.11,221.82,220.635
12/23/2025,220.34,"915,562",219.62,220.54,219.0501
12/22/2025,219.66,"1,575,742",215.46,219.8,214.0
12/19/2025,216.34,"4,210,006",218.31,218.43,216.28
12/18/2025,218.32,"1,476,821",218.55,220.53,217.92
12/17/2025,219.77,"1,628,990",218.0,220.57,217.8234
12/16/2025,218.9,"1,591,751",219.94,220.59,218.4
12/15/2025,218.32,"2,013,327",215.215,218.61,214.54
12/12/2025,215.61,"2,572,714",213.47,216.785,212.66
12/11/2025,212.05,"2,512,380",210.27,213.2699,209.91
12/10/2025,209.15,"2,474,879",208.48,209.97,207.74
12/09/2025,209.31,"1,808,563",210.81,212.25,209.06
12/08/2025,210.23,"1,709,890",212.82,213.25,210.0
12/05/2025,213.58,"1,277,409",213.07,215.39,212.91
12/04/2025,214.19,"2,403,172",216.3,216.72,213.26
12/03/2025,216.15,"1,615,520",214.96,217.52,214.62
12/02/2025,214.54,"1,886,628",216.15,216.77,213.51
12/01/2025,215.93,"2,809,947",217.935,219.48,215.43
11/28/2025,217.87,"779,656",216.645,218.32,216.0
11/26/2025,217.35,"1,811,415",216.81,218.13,215.8325
11/25/2025,216.23,"1,632,121",213.5,216.65,212.485
11/24/2025,211.84,"2,599,238",216.2,216.2,211.71
11/21/2025,216.62,"2,475,123",216.88,218.385,214.62
11/20/2025,216.8,"2,880,303",214.0,217.67,214.0
11/19/2025,215.66,"4,459,025",211.88,217.07,211.595
11/18/2025,211.3,"2,459,577",208.76,211.62,207.5
11/17/2025,207.97,"1,877,071",209.07,209.638,207.49
11/14/2025,209.17,"3,446,515",206.11,210.92,204.91
11/13/2025,204.51,"2,631,728",204.0,207.44,203.56
11/12/2025,203.8,"1,666,544",203.96,205.92,203.35
11/11/2025,203.27,"1,510,467",201.64,203.707,201.02
11/10/2025,200.47,"2,175,459",200.55,201.16,197.47
11/07/2025,201.92,"1,668,563",200.8,202.3,199.86
11/06/2025,199.62,"1,811,123",200.17,201.67,198.62
11/05/2025,200.54,"2,054,388",200.32,202.2,200.2701
11/04/2025,200.68,"2,506,761",198.91,200.8,197.46
11/03/2025,196.77,"2,259,724",199.0,199.35,194.11
10/31/2025,199.77,"2,421,149",200.1,200.9999,198.75
10/30/2025,200.57,"2,693,147",197.995,201.42,197.44
10/29/2025,197.53,"3,665,265",203.79,203.79,197.0201
10/28/2025,204.23,"3,979,366",198.98,208.8,197.25
10/27/2025,213.77,"2,752,967",215.28,215.28,212.97
10/24/2025,214.66,"1,850,395",217.05,217.25,214.27
10/23/2025,216.11,"1,498,126",217.88,217.88,214.01
10/22/2025,216.46,"1,469,929",215.45,219.09,214.675
10/21/2025,214.89,"1,036,282",215.15,216.42,214.6001
10/20/2025,215.4,"941,293",215.85,216.29,214.21
10/17/2025,215.48,"1,152,685",214.13,216.12,213.64
10/16/2025,213.29,"1,195,556",213.5,214.14,211.71
10/15/2025,213.69,"1,709,556",217.595,217.77,213.0
10/14/2025,218.11,"1,379,545",217.455,219.195,216.8
10/13/2025,217.09,"1,177,976",217.47,218.79,216.52
10/10/2025,219.25,"1,566,584",217.845,220.24,216.44
10/09/2025,217.53,"1,318,824",219.42,219.9632,216.4451
10/08/2025,219.98,"1,269,284",217.58,220.57,217.08
10/07/2025,217.56,"1,062,209",217.64,218.26,216.1501
10/06/2025,217.69,"1,116,838",219.27,220.0,217.015
10/03/2025,219.76,"1,176,815",216.5,221.01,216.04
10/02/2025,216.91,"1,810,350",218.975,219.05,216.58
10/01/2025,219.87,"1,583,106",220.38,221.25,218.175
09/30/2025,220.83,"1,814,793",218.85,221.58,218.795
09/29/2025,219.43,"1,073,260",218.86,219.8066,217.59
09/26/2025,218.69,"1,413,826",218.15,220.69,217.56
09/25/2025,217.16,"1,901,100",220.46,221.62,217.14
09/24/2025,219.42,"1,558,006",217.92,220.37,216.9
09/23/2025,218.23,"1,480,584",216.42,218.36,215.2029
09/22/2025,216.99,"1,424,301",216.53,217.5,215.67
09/19/2025,216.4,"2,837,696",216.95,217.665,216.0
09/18/2025,215.92,"1,142,805",214.86,216.96,214.26
09/17/2025,215.66,"1,375,800",214.495,217.15,214.0
09/16/2025,213.88,"2,126,489",216.14,216.525,213.71
09/15/2025,216.13,"1,299,667",218.61,219.08,216.01
09/12/2025,218.16,"1,087,268",219.76,220.67,217.56
09/11/2025,220.5,"1,841,281",217.58,220.79,215.45
09/10/2025,217.69,"1,183,600",218.36,219.3502,216.825
09/09/2025,219.16,"1,520,602",218.74,219.37,217.1
09/08/2025,219.05,"1,509,537",220.01,220.605,217.87
09/05/2025,220.06,"2,113,290",224.54,224.85,218.66
09/04/2025,224.95,"1,517,477",224.58,226.24,224.1069
09/03/2025,224.41,"1,636,474",224.99,226.27,222.935
09/02/2025,225.73,"2,548,920",226.415,226.85,223.7327
08/29/2025,226.39,"1,527,715",224.65,226.82,224.65
08/28/2025,224.58,"1,001,008",225.7,225.7,223.3234
08/27/2025,225.83,"1,026,297",225.15,226.16,224.88
08/26/2025,225.25,"1,466,979",224.48,225.58,223.6675
08/25/2025,224.04,"1,101,857",227.39,227.98,223.545
08/22/2025,227.02,"1,331,787",229.67,231.4,226.78
08/21/2025,229.61,"958,996",230.27,230.27,228.76
08/20/2025,230.03,"1,868,319",230.25,232.58,229.58
08/19/2025,228.49,"1,530,382",224.46,229.22,224.46
08/18/2025,224.2,"3,444,115",227.43,227.65,223.87
08/15/2025,226.81,"3,371,632",225.81,227.59,225.19
08/14/2025,226.15,"3,253,334",230.07,230.08,222.455
08/13/2025,229.9,"2,095,930",232.75,233.74,229.03
08/12/2025,232.98,"1,137,851",237.23,237.23,232.32
08/11/2025,237.1,"1,705,320",236.01,237.27,235.14
08/08/2025,235.09,"1,088,720",233.37,235.45,232.775
08/07/2025,233.22,"1,045,658",231.64,233.29,231.195
08/06/2025,231.6,"1,069,270",230.24,232.7025,228.97
08/05/2025,229.78,"1,383,340",229.8,231.51,229.47
08/04/2025,230.54,"1,408,885",228.0,230.85,228.0
08/01/2025,228.88,"1,389,518",230.86,231.96,227.8
07/31/2025,229.16,"1,798,548",232.47,233.2,228.59
07/30/2025,232.51,"2,138,744",235.0,237.0,232.295
07/29/2025,235.56,"3,653,592",229.52,240.39,229.52
07/28/2025,227.9,"1,722,847",229.0,229.96,227.2
07/25/2025,229.67,"1,126,424",230.82,231.68,228.9401
07/24/2025,230.61,"1,559,032",227.175,230.68,227.175
07/23/2025,228.12,"1,278,411",226.72,228.42,225.8
07/22/2025,227.09,"1,130,362",225.68,228.2,225.06
07/21/2025,225.3,"1,177,090",226.24,227.67,225.195
07/18/2025,227.32,"1,996,461",225.82,228.3499,225.82
07/17/2025,225.7,"1,403,492",225.56,226.16,223.4
07/16/2025,225.86,"1,276,586",225.31,225.91,223.385
07/15/2025,225.84,"1,189,127",229.0,229.13,225.76
07/14/2025,229.3,"1,796,638",225.32,229.5,225.32
07/11/2025,226.01,"1,697,227",225.44,226.5,223.95
07/10/2025,225.65,"1,596,497",225.82,227.08,224.15
07/09/2025,225.75,"1,860,969",224.55,226.66,223.2101
07/08/2025,224.87,"2,119,941",225.8,226.83,224.43
07/07/2025,226.92,"1,516,644",227.05,227.79,225.32
07/03/2025,227.1,"1,525,978",224.51,227.31,223.07
07/02/2025,223.39,"2,283,313",227.58,228.75,222.15
07/01/2025,228.8,"1,573,810",228.52,230.21,226.91
06/30/2025,228.82,"1,752,496",228.36,229.2845,226.96
06/27/2025,228.26,"2,895,965",227.02,229.48,226.445
06/26/2025,226.72,"2,111,228",229.87,229.87,226.04
06/25/2025,228.58,"2,167,307",234.0,234.275,227.71
06/24/2025,234.14,"1,576,743",235.01,235.69,232.229
06/23/2025,234.71,"1,605,716",231.9,234.84,231.73
06/20/2025,231.94,"2,583,514",233.5,234.91,231.14
06/18/2025,233.22,"1,076,431",235.0,235.0,232.585
06/17/2025,234.3,"872,613",234.3,235.265,232.865
06/16/2025,234.66,"1,024,450",236.78,237.92,234.28
06/13/2025,236.5,"1,414,106",236.95,239.6,235.88
06/12/2025,237.15,"1,086,411",234.82,237.15,234.36
06/11/2025,234.29,"1,408,632",233.96,234.9018,231.34
06/10/2025,233.99,"1,321,770",234.07,235.03,232.7
06/09/2025,233.99,"1,306,805",236.03,236.03,230.5
06/06/2025,236.33,"1,181,944",237.99,239.11,236.07
06/05/2025,238.64,"1,040,738",238.89,239.32,237.47
06/04/2025,238.89,"1,193,607",240.0,240.445,238.6
06/03/2025,240.19,"1,764,444",241.14,242.58,238.92
06/02/2025,242.1,"1,774,975",239.08,242.1,238.5
05/30/2025,240.97,"2,440,119",238.36,241.68,237.56
05/29/2025,237.76,"1,257,459",235.9,237.99,235.214
05/28/2025,237.15,"1,855,825",237.89,238.3499,236.8
05/27/2025,238.03,"1,791,456",236.81,238.19,236.5
05/23/2025,236.81,"1,503,198",236.0,237.34,233.01
05/22/2025,233.32,"1,755,186",233.5,234.83,231.71
05/21/2025,234.11,"1,864,435",234.09,235.46,233.3604
05/20/2025,233.89,"1,901,974",232.21,234.31,232.21
05/19/2025,231.95,"1,203,933",229.41,232.22,229.41
05/16/2025,229.87,"1,639,351",228.03,229.91,227.36
05/15/2025,228.02,"1,762,710",224.22,228.1611,223.7201
05/14/2025,222.47,"2,176,186",223.19,223.19,219.76
05/13/2025,222.38,"2,787,613",225.0,225.42,221.66
05/12/2025,225.57,"2,976,315",232.01,232.09,222.02
05/09/2025,232.75,"1,484,184",232.51,233.97,231.24
05/08/2025,233.13,"1,845,800",236.38,237.38,232.84
05/07/2025,235.51,"1,663,828",233.65,236.3,233.625
05/06/2025,234.07,"1,231,663",232.67,235.74,232.67
05/05/2025,234.79,"1,031,635",233.84,235.6377,232.05
05/02/2025,233.94,"1,228,012",235.83,235.99,232.5
05/01/2025,233.4,"1,546,679",232.005,234.6,229.66
04/30/2025,233.36,"1,955,244",229.0,233.86,226.8572
04/29/2025,228.8,"2,250,444",224.0,229.93,220.7
04/28/2025,229.08,"2,356,998",229.22,229.4073,226.465
04/25/2025,228.31,"2,116,018",229.47,229.67,225.0
04/24/2025,227.47,"1,870,014",229.65,229.65,225.325
04/23/2025,228.63,"1,797,177",230.45,231.0,226.5
04/22/2025,229.96,"1,868,869",228.25,231.9,227.59
04/21/2025,227.57,"1,447,615",230.78,231.23,224.29
04/17/2025,230.91,"1,372,335",229.86,232.56,229.29
04/16/2025,229.57,"1,795,157",232.62,233.13,228.4623
04/15/2025,231.48,"1,323,973",233.38,233.89,231.1
04/14/2025,232.3,"1,316,995",231.27,233.15,229.955
04/11/2025,229.38,"1,920,893",224.19,230.4,223.645
04/10/2025,226.45,"2,377,308",222.61,228.32,220.725
04/09/2025,224.42,"3,277,849",214.0,226.3144,213.5
04/08/2025,216.47,"2,324,952",225.79,225.79,213.655
04/07/2025,220.56,"2,931,145",219.14,226.75,215.01
04/04/2025,225.2,"4,183,358",235.08,236.4651,225.06
04/03/2025,236.83,"2,216,126",233.96,239.32,233.1
04/02/2025,234.56,"1,411,264",232.93,234.88,230.48
04/01/2025,233.79,"1,669,921",231.19,234.06,230.68
03/31/2025,231.51,"1,914,386",228.56,232.48,228.395
03/28/2025,227.92,"1,265,696",228.65,230.31,227.69
03/27/2025,229.02,"1,354,093",229.97,231.4699,227.7853
03/26/2025,228.93,"1,268,317",228.63,229.5399,227.6
03/25/2025,227.07,"1,622,583",226.88,227.57,225.09
03/24/2025,226.24,"1,519,097",225.94,227.29,224.66
03/21/2025,224.91,"2,536,527",226.15,226.4,223.87
03/20/2025,226.9,"1,009,083",227.08,228.47,225.17
03/19/2025,227.36,"1,238,686",225.87,228.015,225.0
03/18/2025,225.87,"1,306,151",227.34,228.3499,224.84
03/17/2025,228.19,"1,915,938",224.88,228.71,224.25
03/14/2025,224.86,"1,219,431",222.39,225.12,221.1
03/13/2025,223.2,"1,612,712",222.21,224.07,221.17
03/12/2025,222.86,"1,264,203",225.0,225.37,222.68
03/11/2025,224.21,"1,797,926",228.0,228.21,223.63
03/10/2025,227.77,"2,270,518",227.95,232.24,226.29
03/07/2025,229.55,"1,906,125",224.17,229.9,224.14
03/06/2025,225.96,"1,800,813",229.03,229.95,223.9477
03/05/2025,230.39,"1,620,797",228.11,231.06,227.69
03/04/2025,229.96,"2,205,403",234.31,235.37,229.53
03/03/2025,233.78,"1,920,228",233.59,235.81,232.26
02/28/2025,232.78,"2,399,770",230.0,233.04,229.7
02/27/2025,229.61,"1,209,840",228.11,230.9119,227.52
02/26/2025,228.69,"1,065,511",228.96,230.9546,227.74
02/25/2025,230.75,"1,931,642",230.465,232.44,229.95
02/24/2025,229.68,"1,670,362",226.63,230.63,226.45
02/21/2025,228.03,"1,709,198",228.49,228.49,226.5
02/20/2025,229.12,"1,189,759",228.25,229.53,226.34
02/19/2025,228.52,"1,256,228",229.0,229.21,227.16
02/18/2025,228.35,"1,693,001",223.98,229.6,223.98
02/14/2025,227.73,"1,206,935",228.13,230.38,227.58
02/13/2025,227.6,"1,146,756",227.32,228.4599,225.21
02/12/2025,227.4,"1,503,556",225.73,228.41,225.5
02/11/2025,226.75,"1,297,821",226.085,226.89,225.0702
02/10/2025,226.09,"1,077,921",224.76,226.16,223.575
02/07/2025,224.91,"1,308,459",224.88,226.1876,223.9
02/06/2025,224.92,"1,151,275",224.63,225.66,223.52
02/05/2025,224.77,"1,394,793",223.6,225.1339,223.0
02/04/2025,222.14,"2,213,831",222.12,224.1,221.69
02/03/2025,223.72,"2,118,063",218.91,225.89,218.51
01/31/2025,220.26,"1,947,694",221.6,222.45,219.67
01/30/2025,222.43,"3,163,251",215.485,222.73,214.7184
01/29/2025,209.55,"2,159,008",212.95,213.905,209.43
01/28/2025,213.65,"2,430,855",213.96,214.23,212.56
01/27/2025,213.63,"1,593,441",211.53,213.98,210.54
01/24/2025,209.43,"1,185,154",210.16,210.52,208.93
01/23/2025,210.1,"1,296,193",211.67,212.2,209.57
01/22/2025,211.44,"2,149,278",212.43,212.86,209.73
01/21/2025,212.93,"1,864,413",212.85,213.68,211.51
01/17/2025,211.71,"1,663,813",211.81,213.25,210.8101
01/16/2025,211.01,"1,589,365",207.81,211.36,207.705
01/15/2025,208.0,"1,655,482",208.57,208.9799,206.57
01/14/2025,207.17,"1,350,075",206.81,207.72,205.1
01/13/2025,207.53,"1,459,335",206.66,207.56,205.0
01/10/2025,207.25,"2,564,695",207.0,209.6762,206.25
01/08/2025,206.58,"2,005,215",204.16,206.94,203.74
01/07/2025,203.39,"2,016,883",202.2,203.83,202.03
01/06/2025,201.76,"1,335,896",201.02,202.02,200.18
01/03/2025,201.65,"1,123,493",200.5,202.51,200.3454
01/02/2025,200.54,"1,818,342",202.87,203.02,199.69
12/31/2024,201.79,"1,549,027",202.47,202.53,200.8601
12/30/2024,202.27,"1,209,690",202.21,203.08,201.27
12/27/2024,204.02,"878,694",203.99,205.795,203.01
12/26/2024,205.02,"736,761",204.25,205.9728,204.099
