date,close,volume,open,high,low
05/15/2026,66.45,"2,117,931",66.51,67.094,66.0
05/14/2026,66.03,"1,742,271",65.78,66.46,65.55
05/13/2026,65.43,"1,755,571",66.28,66.88,65.07
05/12/2026,66.56,"1,276,581",66.5,67.16,66.04
05/11/2026,66.41,"1,672,072",66.02,66.57,65.53
05/08/2026,65.68,"1,378,525",66.62,66.65,65.57
05/07/2026,66.53,"1,493,310",65.79,66.875,65.59
05/06/2026,66.12,"1,544,467",66.43,67.13,65.96
05/05/2026,66.49,"1,583,541",66.21,67.05,65.98
05/04/2026,66.32,"1,638,059",66.02,67.2299,65.8
05/01/2026,66.38,"2,202,426",67.22,67.93,66.35
04/30/2026,66.83,"2,777,728",66.33,67.0,65.76
04/29/2026,66.95,"2,154,662",67.05,67.29,66.3201
04/28/2026,67.12,"1,879,355",67.0,67.46,66.565
04/27/2026,66.2,"1,944,307",65.5,66.94,65.46
04/24/2026,66.53,"2,211,429",67.96,67.96,66.2
04/23/2026,68.45,"2,834,776",68.18,68.72,67.25
04/22/2026,67.5,"4,476,545",67.275,68.02,65.48
04/21/2026,65.4,"3,618,947",66.3,66.66,65.08
04/20/2026,66.2,"1,723,394",66.9,67.69,65.86
04/17/2026,66.83,"1,858,826",66.37,67.085,65.67
04/16/2026,66.27,"1,622,535",65.94,66.595,65.77
04/15/2026,66.1,"1,757,183",65.85,66.41,65.48
04/14/2026,65.99,"2,864,661",66.42,66.775,65.69
04/13/2026,66.96,"1,511,704",65.67,67.12,65.665
04/10/2026,65.7,"2,049,263",66.94,66.94,65.31
04/09/2026,67.21,"1,455,053",66.66,67.91,66.44
04/08/2026,67.22,"1,713,979",66.01,67.26,65.8622
04/07/2026,66.68,"1,351,955",66.12,66.755,65.77
04/06/2026,66.16,"1,057,386",65.72,66.17,65.41
04/02/2026,65.99,"1,235,883",65.28,66.38,65.22
04/01/2026,65.28,"1,545,095",65.37,65.91,64.99
03/31/2026,66.28,"1,878,613",65.63,67.18,65.63
03/30/2026,66.25,"4,206,294",65.31,66.44,65.06
03/27/2026,64.74,"1,844,182",65.74,65.82,64.61
03/26/2026,65.26,"1,874,729",64.6,65.28,64.59
03/25/2026,64.49,"2,661,695",64.84,65.33,63.675
03/24/2026,65.03,"1,800,295",65.53,65.93,64.89
03/23/2026,65.55,"2,498,162",66.68,66.7,65.54
03/20/2026,65.74,"8,514,085",66.04,66.54,65.68
03/19/2026,66.22,"2,167,319",67.52,67.7,65.9
03/18/2026,67.26,"2,209,962",68.22,68.54,66.78
03/17/2026,68.85,"1,542,801",69.12,69.19,68.03
03/16/2026,68.53,"1,541,684",69.02,69.335,68.41
03/13/2026,68.76,"1,392,512",69.44,69.75,68.705
03/12/2026,68.7,"1,454,301",67.34,69.015,66.96
03/11/2026,67.86,"1,491,304",67.78,68.29,67.29
03/10/2026,67.86,"1,674,020",67.79,68.47,67.4548
03/09/2026,68.24,"1,926,725",69.62,69.62,67.62
03/06/2026,69.92,"1,677,216",69.34,70.23,68.41
03/05/2026,69.57,"2,912,957",69.87,69.9999,68.8262
03/04/2026,70.39,"1,786,500",72.62,72.62,70.35
03/03/2026,72.64,"1,684,441",72.67,72.73,71.1
03/02/2026,73.24,"1,639,980",71.53,73.42,71.53
02/27/2026,71.7,"4,799,464",71.94,71.9405,71.01
02/26/2026,71.58,"1,558,656",72.07,72.37,71.33
02/25/2026,71.58,"1,641,238",71.74,72.04,70.68
02/24/2026,71.63,"2,037,592",70.76,71.73,69.945
02/23/2026,71.0,"1,771,473",71.54,72.05,70.6
02/20/2026,71.08,"1,763,929",71.02,71.14,70.355
02/19/2026,70.34,"2,727,068",71.45,72.06,70.05
02/18/2026,70.8,"1,841,795",71.04,71.285,69.9
02/17/2026,71.04,"1,998,820",70.64,71.6441,70.4
02/13/2026,69.7,"2,749,211",70.95,71.72,69.31
