date,close,volume,open,high,low
05/15/2026,22.68,"6,414,397",23.38,23.395,22.56
05/14/2026,23.35,"4,360,121",23.14,23.465,23.02
05/13/2026,23.1,"7,638,947",23.4,23.45,22.925
05/12/2026,23.45,"6,219,171",23.52,23.75,23.27
05/11/2026,23.42,"4,902,303",23.48,23.845,23.35
05/08/2026,23.53,"4,468,104",23.8,23.93,23.51
05/07/2026,23.7,"5,891,688",24.08,24.24,23.625
05/06/2026,24.04,"4,307,365",24.04,24.375,24.0
05/05/2026,23.7,"5,001,649",23.64,23.985,23.57
05/04/2026,23.53,"6,484,958",23.83,24.03,23.485
05/01/2026,23.99,"7,384,464",24.98,25.05,23.99
04/30/2026,24.52,"8,281,862",24.35,24.75,24.235
04/29/2026,24.25,"5,619,821",24.72,24.9,24.14
04/28/2026,24.82,"3,987,780",25.185,25.36,24.735
04/27/2026,25.02,"3,505,639",24.95,25.18,24.88
04/24/2026,25.03,"3,990,032",24.99,25.28,24.96
04/23/2026,25.0,"4,673,557",24.75,25.08,24.5
04/22/2026,24.77,"2,947,243",25.06,25.14,24.69
04/21/2026,24.89,"4,899,967",25.54,25.8,24.78
04/20/2026,25.44,"4,928,581",25.04,25.575,24.88
04/17/2026,25.17,"6,861,109",24.48,25.19,24.48
04/16/2026,24.36,"6,503,150",24.2,24.425,23.8839
04/15/2026,24.21,"4,433,975",24.78,24.78,24.2
04/14/2026,24.78,"2,739,433",24.88,24.975,24.69
04/13/2026,24.82,"3,344,939",24.65,24.86,24.32
04/10/2026,24.64,"3,718,975",24.71,25.0689,24.525
04/09/2026,24.82,"3,160,964",24.73,25.065,24.56
04/08/2026,24.9,"3,955,497",24.54,25.07,24.536
04/07/2026,24.02,"3,616,583",24.04,24.12,23.815
04/06/2026,24.2,"3,135,771",24.3,24.5,24.115
04/02/2026,24.43,"3,208,429",24.25,24.645,24.055
04/01/2026,24.2,"3,590,801",24.28,24.555,24.125
03/31/2026,24.43,"5,631,157",24.55,24.68,24.235
03/30/2026,24.28,"6,985,144",23.98,24.665,23.92
03/27/2026,23.86,"6,600,748",23.49,23.92,23.35
03/26/2026,23.6,"4,186,042",23.53,23.865,23.37
03/25/2026,23.65,"3,604,652",23.83,23.89,23.285
03/24/2026,23.54,"4,609,246",23.07,23.875,23.0
03/23/2026,23.16,"5,768,242",22.78,23.435,22.74
03/20/2026,22.47,"8,903,587",22.93,23.04,22.405
03/19/2026,22.96,"6,447,435",23.34,23.39,22.815
03/18/2026,23.43,"4,436,297",23.94,23.97,23.42
03/17/2026,24.09,"3,708,447",23.98,24.22,23.79
03/16/2026,23.73,"4,306,122",23.66,23.805,23.55
03/13/2026,23.46,"5,432,540",23.26,23.485,23.185
03/12/2026,23.03,"7,272,862",23.02,23.38,22.925
03/11/2026,23.23,"7,248,367",24.06,24.21,23.22
03/10/2026,24.18,"7,026,634",24.26,24.345,23.94
03/09/2026,24.45,"7,571,970",24.22,24.575,23.82
03/06/2026,24.5,"6,407,472",24.44,24.53,24.02
03/05/2026,24.63,"8,710,562",24.69,24.84,24.47
03/04/2026,24.82,"4,711,680",24.87,24.9712,24.575
03/03/2026,24.77,"8,479,458",24.25,24.875,24.06
03/02/2026,24.62,"6,654,896",24.46,24.845,24.27
02/27/2026,24.53,"7,837,178",24.17,24.55,24.03
02/26/2026,24.52,"6,175,089",24.4,24.64,24.135
02/25/2026,24.36,"5,700,188",24.9,24.94,24.07
02/24/2026,24.89,"5,142,819",25.05,25.15,24.6
02/23/2026,25.13,"4,711,195",25.61,25.71,24.895
02/20/2026,25.28,"5,084,781",25.55,25.66,25.055
02/19/2026,25.55,"4,641,482",26.2,26.28,25.49
02/18/2026,26.27,"4,743,411",26.76,26.98,26.11
02/17/2026,26.88,"5,061,081",26.84,27.11,26.54
