date,close,volume,open,high,low
05/15/2026,95.42,"1,028,366",95.36,96.24,94.13
05/14/2026,95.43,"2,040,746",96.49,97.97,95.2
05/13/2026,96.21,"1,555,424",97.24,97.25,94.545
05/12/2026,97.25,"1,639,284",98.96,99.28,97.1
05/11/2026,99.37,"2,717,471",100.97,101.75,98.06
05/08/2026,102.42,"3,981,186",106.0,106.205,99.6
05/07/2026,106.85,"1,273,171",107.73,108.98,105.47
05/06/2026,107.565,"1,120,184",108.275,109.0,107.225
05/05/2026,106.24,"1,615,248",103.495,106.84,103.495
05/04/2026,103.44,"1,368,101",105.97,106.18,102.26
05/01/2026,105.98,"1,466,315",107.0,108.79,105.44
04/30/2026,107.11,"1,086,775",104.4,107.71,103.65
04/29/2026,104.24,"1,352,653",105.64,105.825,104.07
04/28/2026,106.2,"1,083,951",104.95,107.24,104.2501
04/27/2026,105.51,"1,175,146",105.63,107.0,104.83
04/24/2026,105.67,"1,190,690",105.76,106.84,104.84
04/23/2026,105.61,"1,706,396",106.08,106.08,103.11
04/22/2026,106.64,"970,883",108.5,108.5,105.33
04/21/2026,107.66,"937,683",108.9,110.0,107.375
04/20/2026,108.79,"1,257,343",108.725,109.36,106.44
04/17/2026,109.19,"1,574,292",108.33,111.97,107.85
04/16/2026,106.82,"1,466,485",106.84,107.99,105.9
04/15/2026,106.84,"1,264,066",105.59,107.82,105.07
04/14/2026,105.59,"1,448,294",103.31,105.895,103.07
04/13/2026,103.06,"1,223,739",103.77,103.77,101.9529
04/10/2026,104.0,"790,953",104.89,105.6,103.785
04/09/2026,104.89,"1,333,303",103.78,105.09,102.63
04/08/2026,105.24,"2,548,042",105.34,107.95,104.53
04/07/2026,100.43,"1,534,783",102.67,103.045,99.995
04/06/2026,102.71,"977,395",101.07,102.81,99.845
04/02/2026,102.03,"1,382,674",101.105,102.285,99.51
04/01/2026,102.6,"1,649,278",102.47,103.785,101.0
03/31/2026,101.55,"1,809,635",98.06,101.82,97.67
03/30/2026,96.77,"1,419,784",97.065,98.265,96.14
03/27/2026,96.59,"1,862,375",98.96,99.44,96.15
03/26/2026,99.47,"1,314,980",100.86,101.43,99.07
03/25/2026,101.89,"1,387,803",103.88,105.42,100.555
03/24/2026,102.77,"1,079,855",100.09,103.21,100.09
03/23/2026,101.13,"1,605,197",102.28,104.85,101.05
03/20/2026,99.98,"2,186,423",102.9,103.0,99.18
03/19/2026,103.16,"1,062,443",100.67,103.61,100.36
