date,close,volume,open,high,low
05/15/2026,77.92,"4,702,227",80.03,80.03,77.68
05/14/2026,80.03,"4,269,596",79.69,80.33,79.625
05/13/2026,79.91,"3,867,883",78.742,80.1,78.63
05/12/2026,79.9,"9,548,207",80.29,80.57,79.32
05/11/2026,80.6,"8,070,468",79.56,80.99,79.4022
05/08/2026,79.39,"4,559,448",80.46,81.18,79.27
05/07/2026,80.43,"6,154,870",80.44,80.82,79.79
05/06/2026,80.55,"6,705,548",81.13,81.61,80.16
05/05/2026,81.45,"4,959,308",81.02,82.15,80.83
05/04/2026,81.17,"3,550,414",81.95,82.37,80.65
05/01/2026,82.58,"5,345,932",82.95,83.85,82.38
04/30/2026,82.95,"9,105,456",79.11,83.11,79.02
04/29/2026,78.82,"3,718,972",79.09,79.46,78.24
04/28/2026,79.48,"3,790,800",80.185,80.28,78.94
04/27/2026,79.41,"3,892,018",79.35,79.76,79.17
04/24/2026,79.15,"3,949,557",79.19,79.69,78.605
04/23/2026,79.48,"5,379,390",78.63,79.817,78.44
04/22/2026,78.11,"4,474,482",79.69,80.05,77.35
04/21/2026,79.08,"3,847,347",80.52,80.839,78.72
04/20/2026,80.32,"4,041,477",81.08,81.86,80.17
04/17/2026,81.08,"4,096,728",81.11,81.26,79.81
04/16/2026,81.05,"6,748,544",79.1,81.12,78.97
04/15/2026,78.65,"5,267,369",79.4,79.545,78.5
04/14/2026,79.83,"5,826,552",80.0,80.16,78.77
04/13/2026,80.45,"4,324,572",82.3,82.35,80.41
04/10/2026,82.38,"3,515,639",82.63,83.05,82.19
04/09/2026,82.77,"3,956,327",81.25,83.18,81.1
04/08/2026,81.46,"4,283,383",80.06,81.5,79.605
04/07/2026,80.54,"3,391,755",80.07,81.1,80.06
04/06/2026,80.39,"3,232,200",80.18,80.96,80.08
04/02/2026,80.74,"2,698,173",79.82,80.93,79.46
04/01/2026,79.71,"4,618,454",79.15,80.28,79.015
03/31/2026,79.44,"4,533,923",79.39,79.57,78.32
03/30/2026,79.165,"4,946,269",79.14,79.73,78.715
03/27/2026,78.09,"3,786,850",78.11,79.13,77.69
03/26/2026,77.93,"3,311,941",77.67,78.35,77.24
03/25/2026,77.7,"2,941,815",78.38,78.58,77.675
03/24/2026,77.96,"4,313,187",76.77,78.705,76.475
03/23/2026,76.95,"5,888,487",77.79,77.83,76.58
03/20/2026,76.77,"9,225,005",79.01,79.67,76.18
03/19/2026,79.53,"4,345,866",80.02,80.29,78.56
03/18/2026,80.02,"3,733,029",80.94,81.41,79.98
03/17/2026,81.41,"3,857,678",82.16,82.57,81.21
03/16/2026,81.63,"4,298,876",82.66,82.66,81.15
03/13/2026,81.91,"4,503,063",81.27,82.46,81.07
03/12/2026,80.82,"5,704,352",80.64,81.59,80.135
03/11/2026,81.0,"3,745,472",81.56,82.005,80.9701
03/10/2026,81.88,"3,644,196",82.08,82.53,81.32
03/09/2026,82.1,"3,586,477",82.68,82.68,81.28
03/06/2026,82.52,"4,606,076",81.71,82.91,80.94
03/05/2026,82.38,"5,107,761",82.94,83.095,81.733
03/04/2026,83.04,"4,729,928",82.94,83.58,81.97
03/03/2026,83.17,"3,057,000",83.01,83.885,81.2802
03/02/2026,83.8,"3,732,449",83.44,84.12,83.31
02/27/2026,83.36,"5,827,585",83.54,84.12,83.19
02/26/2026,83.47,"4,863,320",83.87,84.23,83.245
02/25/2026,83.55,"5,325,692",83.91,84.18,82.3
02/24/2026,83.91,"4,825,462",83.32,84.0,83.07
02/23/2026,83.35,"5,219,932",81.96,83.4,81.775
02/20/2026,81.55,"4,422,442",81.14,81.68,80.43
02/19/2026,80.82,"5,548,367",79.68,81.01,79.45
02/18/2026,79.68,"4,064,202",80.75,81.0199,79.38
02/17/2026,80.75,"4,466,695",82.0,82.3,80.3
02/13/2026,81.59,"5,398,150",79.54,81.93,79.37
02/12/2026,78.98,"5,514,868",78.21,79.95,77.97
02/11/2026,77.92,"5,187,933",77.67,78.12,77.095
02/10/2026,77.5,"6,703,261",76.87,78.33,76.5
02/09/2026,76.43,"4,240,280",75.6,76.57,74.94
02/06/2026,75.9,"7,096,399",76.85,76.85,74.67
02/05/2026,76.12,"8,225,375",76.2,76.86,74.81
02/04/2026,76.2,"6,071,332",76.66,77.24,76.05
02/03/2026,75.95,"4,448,648",74.38,76.08,74.11
02/02/2026,74.5,"3,859,130",75.74,76.04,74.4
01/30/2026,76.06,"3,920,939",75.8,76.08,74.93
01/29/2026,75.97,"3,091,187",76.22,76.99,75.49
01/28/2026,76.01,"3,239,992",76.2,76.76,75.94
01/27/2026,76.33,"2,118,887",75.58,76.48,75.15
01/26/2026,75.73,"5,215,495",75.35,76.14,75.27
01/23/2026,75.01,"4,210,470",75.36,75.67,74.35
01/22/2026,75.86,"4,388,228",76.5,76.93,75.4
01/21/2026,76.51,"13,776,430",76.46,77.05,76.06
01/20/2026,76.21,"7,220,551",75.21,76.27,74.67
01/16/2026,75.61,"7,378,101",75.36,75.89,75.01
01/15/2026,75.36,"6,881,049",76.33,76.39,75.25
01/14/2026,76.2,"5,961,081",74.76,76.35,74.75
01/13/2026,74.94,"3,462,246",74.02,75.01,73.79
01/12/2026,74.0,"5,642,070",74.03,74.54,73.495
01/09/2026,74.26,"3,504,145",73.88,75.04,73.6653
01/08/2026,73.38,"3,082,322",73.19,74.475,73.1
01/07/2026,73.22,"3,822,529",74.8,74.92,72.975
01/06/2026,74.43,"7,770,908",74.06,74.56,73.45
01/05/2026,74.07,"6,584,755",74.44,74.674,72.74
01/02/2026,74.68,"4,213,035",73.82,75.28,73.27
12/31/2025,73.86,"2,512,973",74.19,74.33,73.85
12/30/2025,74.19,"5,420,886",73.99,74.43,73.985
12/29/2025,74.12,"3,999,598",74.0,74.67,73.965
12/26/2025,74.42,"2,354,271",74.095,74.61,74.005
12/24/2025,74.09,"1,427,599",73.97,74.195,73.775
12/23/2025,74.01,"8,072,595",73.78,74.285,73.49
12/22/2025,73.85,"9,347,520",72.71,74.015,72.54
12/19/2025,72.67,"13,564,820",73.3,73.59,72.45
12/18/2025,73.61,"8,312,240",73.27,73.85,73.06
12/17/2025,73.14,"9,096,537",73.61,73.88,72.79
12/16/2025,73.73,"11,254,460",75.75,76.0,72.43
12/15/2025,75.72,"6,506,264",76.05,76.05,75.07
12/12/2025,75.15,"6,138,447",75.77,75.8916,74.99
12/11/2025,74.68,"5,494,891",74.68,75.98,74.35
12/10/2025,74.62,"4,824,731",75.66,75.76,74.52
12/09/2025,75.72,"4,842,559",75.77,76.36,75.17
12/08/2025,75.73,"3,197,662",77.08,77.15,75.23
12/05/2025,77.18,"3,563,149",77.72,77.945,76.98
12/04/2025,77.77,"6,758,037",78.14,78.39,77.32
12/03/2025,78.39,"3,625,775",79.04,79.33,77.63
12/02/2025,79.04,"4,616,729",80.0,80.0,78.67
12/01/2025,79.73,"3,885,663",81.7,81.85,79.675
11/28/2025,82.11,"1,364,365",81.5,82.17,81.375
11/26/2025,81.25,"2,850,675",80.7,81.37,80.66
11/25/2025,80.39,"4,980,558",80.26,81.15,79.85
11/24/2025,80.26,"6,340,323",79.71,80.49,79.03
11/21/2025,79.67,"3,825,023",79.66,80.261,79.21
11/20/2025,79.49,"5,649,711",80.0,80.25,79.23
11/19/2025,79.67,"2,879,576",80.89,81.15,79.48
11/18/2025,81.0,"3,754,091",81.75,82.28,80.95
11/17/2025,81.31,"3,901,260",80.83,81.68,80.5
11/14/2025,80.58,"4,233,708",80.18,81.0,79.64
11/13/2025,80.14,"5,274,729",80.72,81.17,80.09
11/12/2025,80.72,"3,627,066",81.2,81.24,80.275
11/11/2025,81.16,"4,506,092",80.77,81.32,80.41
11/10/2025,80.4,"5,354,222",80.92,81.17,79.98
11/07/2025,80.91,"4,770,054",80.54,81.4,80.0
11/06/2025,80.54,"5,096,267",81.04,81.94,80.46
11/05/2025,81.19,"6,708,221",80.75,81.785,80.34
11/04/2025,81.59,"7,431,095",81.59,81.89,80.18
11/03/2025,81.26,"4,716,796",81.17,81.46,79.54
10/31/2025,81.17,"6,202,751",81.18,81.81,79.8
10/30/2025,81.59,"9,264,008",81.09,82.69,78.43
10/29/2025,79.69,"4,254,530",79.33,80.36,78.945
10/28/2025,79.82,"4,134,664",80.67,80.7,79.55
10/27/2025,80.69,"3,627,923",80.33,81.1,79.96
10/24/2025,80.39,"2,910,100",80.85,81.44,80.206
10/23/2025,80.41,"4,189,126",81.27,81.3,79.64
10/22/2025,80.69,"3,562,342",80.89,81.35,80.57
10/21/2025,80.64,"1,888,600",81.35,81.56,80.22
10/20/2025,81.28,"4,000,906",81.77,81.97,80.36
10/17/2025,81.16,"5,174,886",81.39,81.5758,80.525
10/16/2025,81.1,"3,959,964",82.29,83.01,81.01
10/15/2025,81.8,"4,904,540",80.96,81.82,80.38
10/14/2025,80.85,"3,928,522",80.41,81.46,80.355
10/13/2025,80.16,"3,800,054",80.87,81.55,80.055
10/10/2025,80.93,"4,273,565",81.65,82.22,80.81
10/09/2025,81.26,"3,389,921",82.14,82.54,81.19
10/08/2025,81.85,"3,142,845",82.18,82.22,81.26
10/07/2025,81.85,"3,715,699",81.48,82.09,81.04
10/06/2025,81.0,"4,082,801",80.41,81.28,79.89
10/03/2025,80.26,"3,850,197",79.63,80.84,79.62
10/02/2025,79.6,"6,982,620",79.76,80.58,79.22
10/01/2025,80.31,"4,585,642",80.89,81.15,80.29
09/30/2025,80.65,"4,011,119",79.77,80.96,79.5941
09/29/2025,80.05,"5,527,320",79.46,80.07,78.41
09/26/2025,79.28,"7,525,527",77.56,79.405,76.97
09/25/2025,77.25,"10,846,010",78.16,78.8,76.94
09/24/2025,77.93,"14,058,660",73.18,78.125,72.55
09/23/2025,73.04,"4,020,338",72.03,73.04,71.84
09/22/2025,72.35,"4,129,842",72.62,72.7,71.795
09/19/2025,72.11,"10,034,020",72.32,72.8,71.88
09/18/2025,72.17,"3,050,046",71.63,72.64,71.35
09/17/2025,72.05,"5,337,771",72.29,72.9,71.95
09/16/2025,72.11,"3,173,529",72.8,73.045,72.045
09/15/2025,73.05,"2,756,632",72.96,73.2,72.53
09/12/2025,73.35,"7,080,595",72.85,73.72,72.6
09/11/2025,72.85,"7,890,946",72.28,73.06,71.92
09/10/2025,72.31,"5,766,877",72.05,72.63,71.74
09/09/2025,72.02,"5,443,618",71.46,72.2,71.29
09/08/2025,71.75,"6,050,952",72.94,73.02,71.325
09/05/2025,72.68,"6,225,939",72.67,72.885,71.985
09/04/2025,72.24,"6,804,819",72.81,73.21,71.52
09/03/2025,72.43,"3,044,881",72.06,72.48,71.54
09/02/2025,72.14,"3,101,423",72.04,72.36,71.531
08/29/2025,72.39,"3,003,405",72.5,72.905,72.18
08/28/2025,72.34,"3,361,865",73.0,73.2,72.26
08/27/2025,72.87,"3,068,343",72.3,72.988,72.235
08/26/2025,72.54,"2,733,219",72.84,72.89,72.29
08/25/2025,73.03,"2,250,179",74.02,74.1947,72.89
08/22/2025,74.26,"3,374,386",73.59,74.38,73.275
08/21/2025,73.16,"3,099,663",72.86,73.68,72.795
08/20/2025,73.17,"3,908,515",73.64,74.338,72.875
08/19/2025,73.22,"4,002,050",72.21,73.27,72.1
08/18/2025,72.21,"3,113,046",72.03,72.43,71.84
08/15/2025,71.93,"7,793,324",72.53,73.17,69.16
08/14/2025,72.39,"2,702,983",72.8,73.3291,72.28
08/13/2025,72.92,"3,227,005",72.37,72.945,72.23
08/12/2025,72.39,"3,136,955",72.85,72.85,71.4
08/11/2025,72.675,"2,480,829",73.37,73.49,72.37
08/08/2025,73.33,"3,328,850",73.3,73.78,73.02
08/07/2025,73.23,"3,602,210",73.34,73.74,73.09
08/06/2025,73.3,"2,863,322",74.03,74.04,73.235
08/05/2025,73.73,"4,542,669",74.08,74.57,73.43
08/04/2025,74.24,"5,851,825",73.77,74.45,73.635
08/01/2025,73.47,"4,005,116",73.89,74.13,72.9
07/31/2025,73.44,"4,367,607",72.9,73.87,72.67
07/30/2025,72.39,"4,844,859",72.34,73.235,72.21
07/29/2025,72.34,"3,163,751",71.46,72.37,71.06
07/28/2025,71.14,"3,396,633",72.122,72.78,71.01
07/25/2025,72.66,"2,760,052",72.9,73.06,72.45
07/24/2025,72.78,"2,339,790",72.52,72.99,72.09
07/23/2025,72.5,"3,526,683",73.22,73.559,72.07
07/22/2025,73.06,"2,917,831",71.79,73.11,71.61
07/21/2025,71.57,"2,635,281",70.72,71.795,70.37
07/18/2025,70.38,"3,421,049",70.0,70.88,69.66
07/17/2025,69.65,"2,836,550",69.03,69.79,68.975
07/16/2025,69.17,"3,624,417",68.39,69.4,68.32
07/15/2025,68.33,"2,460,336",68.94,69.17,68.01
07/14/2025,69.17,"2,045,521",68.64,69.21,68.38
07/11/2025,68.62,"2,394,427",68.19,68.995,67.81
07/10/2025,68.45,"2,542,374",67.28,68.47,67.02
07/09/2025,67.84,"2,121,088",67.64,68.045,67.11
07/08/2025,67.56,"2,061,258",67.44,67.825,66.56
07/07/2025,67.88,"2,193,101",68.19,68.29,67.475
07/03/2025,68.19,"2,236,072",67.43,68.425,67.3
07/02/2025,67.56,"3,031,435",68.36,68.6399,67.0101
07/01/2025,68.71,"3,711,919",68.37,69.0,66.87
06/30/2025,68.1,"4,116,079",67.5,68.21,67.075
06/27/2025,67.78,"4,020,533",67.68,68.38,67.55
06/26/2025,67.75,"2,166,243",67.71,67.85,67.19
06/25/2025,67.32,"2,445,964",68.0,68.18,67.15
06/24/2025,68.23,"4,277,162",67.91,68.64,67.785
06/23/2025,67.91,"3,405,137",67.06,67.95,66.92
06/20/2025,66.64,"6,825,604",66.6,67.1,66.32
06/18/2025,66.28,"2,917,293",65.75,66.49,65.21
06/17/2025,65.65,"3,460,397",66.8,66.8,65.465
06/16/2025,66.79,"3,343,567",67.87,68.07,66.42
06/13/2025,67.62,"2,861,377",68.5,68.72,67.48
06/12/2025,69.07,"2,569,238",68.53,69.08,68.19
06/11/2025,68.25,"3,190,859",68.93,68.976,68.01
06/10/2025,68.96,"2,640,751",68.48,69.105,68.24
06/09/2025,68.38,"2,509,611",68.25,69.24,68.0943
06/06/2025,68.51,"1,876,660",68.93,69.14,68.12
06/05/2025,68.57,"1,841,302",68.48,68.74,68.09
06/04/2025,68.5,"2,286,304",69.14,69.415,68.43
06/03/2025,69.33,"3,344,824",69.71,69.95,68.72
06/02/2025,69.73,"2,506,375",69.72,69.85,69.14
05/30/2025,70.1,"3,985,888",69.53,70.41,69.36
05/29/2025,69.47,"2,024,809",68.9,69.7092,68.63
05/28/2025,68.93,"2,425,697",69.78,69.865,68.62
05/27/2025,69.805,"2,578,607",70.21,70.39,69.5
05/23/2025,69.73,"3,077,561",69.43,69.82,68.56
05/22/2025,69.21,"4,059,209",69.84,69.95,68.49
05/21/2025,69.92,"4,134,595",71.9,72.05,69.86
05/20/2025,72.315,"3,538,579",72.13,72.7799,71.9
05/19/2025,72.21,"5,044,860",71.9,72.37,71.58
05/16/2025,72.38,"7,154,049",71.3,72.56,70.95
05/15/2025,71.26,"6,642,343",69.25,71.31,69.18
05/14/2025,68.8,"5,338,081",67.91,68.94,67.375
05/13/2025,68.31,"5,328,251",67.78,68.73,66.75
05/12/2025,67.78,"4,783,677",70.35,70.405,67.43
05/09/2025,70.61,"2,479,336",70.25,70.88,69.99
05/08/2025,70.17,"3,159,991",71.31,71.57,70.08
05/07/2025,71.36,"4,552,365",71.17,71.97,70.96
05/06/2025,71.06,"2,765,389",70.62,71.4,70.45
05/05/2025,70.89,"5,645,613",70.415,71.14,69.96
05/02/2025,70.77,"3,854,528",70.73,71.035,69.98
05/01/2025,70.4,"3,389,198",70.7,71.39,70.0
04/30/2025,70.7,"4,468,347",70.69,70.88,69.6
04/29/2025,70.67,"2,539,303",69.56,70.77,69.22
04/28/2025,69.58,"2,994,570",69.11,69.68,68.46
04/25/2025,69.0,"4,816,862",70.5,70.545,68.41
04/24/2025,70.29,"6,499,723",70.34,71.48,69.01
04/23/2025,71.55,"5,639,066",71.07,72.1,70.58
04/22/2025,71.39,"5,162,419",69.66,71.71,69.38
04/21/2025,68.97,"5,664,881",69.88,70.2999,68.19
04/17/2025,70.13,"2,784,549",69.7,71.03,69.495
04/16/2025,69.1,"2,824,027",70.48,70.82,68.86
04/15/2025,70.27,"2,556,862",71.16,71.4788,70.21
04/14/2025,70.73,"2,515,683",69.42,70.87,68.28
04/11/2025,69.555,"3,148,381",68.41,69.925,67.52
04/10/2025,68.41,"3,491,649",68.27,69.3075,67.005
04/09/2025,68.58,"6,518,046",66.52,69.17,65.43
04/08/2025,67.04,"5,792,530",67.36,69.2,66.35
04/07/2025,67.06,"7,971,226",67.89,68.38,65.75
04/04/2025,67.89,"5,680,837",73.0,73.0,67.775
04/03/2025,72.14,"3,573,485",71.99,72.6388,71.15
04/02/2025,70.9,"2,054,721",70.87,71.3,70.06
04/01/2025,70.72,"2,233,424",70.61,70.82,69.97
03/31/2025,70.79,"3,772,295",70.39,71.36,69.9
03/28/2025,69.72,"3,533,624",69.875,70.49,69.64
03/27/2025,69.32,"3,870,701",69.11,69.8,68.925
03/26/2025,68.92,"3,540,567",68.01,69.44,67.985
