date,close,volume,open,high,low
05/15/2026,83.7,"2,578,904",83.01,84.24,82.85
05/14/2026,82.65,"2,170,896",82.96,83.47,82.05
05/13/2026,82.72,"2,239,258",82.26,85.2,81.74
05/12/2026,83.37,"2,436,578",81.0,83.86,80.31
05/11/2026,79.58,"2,229,821",82.31,82.395,79.12
05/08/2026,82.33,"2,077,380",83.81,83.99,82.04
05/07/2026,83.37,"2,177,691",83.39,84.07,82.68
05/06/2026,82.83,"2,379,046",83.72,84.495,82.56
05/05/2026,83.01,"1,606,914",83.08,83.68,82.14
05/04/2026,82.67,"2,004,360",82.5,84.09,82.5
05/01/2026,82.9,"2,724,178",82.755,84.01,82.155
04/30/2026,82.43,"4,169,788",80.67,82.85,80.67
04/29/2026,80.07,"5,242,761",82.03,82.68,79.83
04/28/2026,82.8,"9,824,020",87.595,88.635,81.35
04/27/2026,92.59,"2,503,785",91.28,93.78,91.24
04/24/2026,91.26,"2,762,309",92.08,92.47,89.6641
04/23/2026,92.44,"1,843,807",93.1,93.515,91.4175
04/22/2026,93.04,"1,527,209",93.19,94.7,92.5
04/21/2026,92.69,"1,841,924",95.57,95.89,92.59
04/20/2026,95.48,"1,551,496",94.41,96.2499,93.97
04/17/2026,94.78,"1,567,216",94.75,96.56,94.595
04/16/2026,94.78,"1,362,528",94.44,94.9813,93.67
04/15/2026,94.2,"2,168,431",96.29,96.67,93.91
04/14/2026,96.52,"2,652,697",95.38,97.805,95.09
04/13/2026,95.34,"1,784,295",92.53,95.43,92.2356
04/10/2026,93.12,"1,769,270",93.77,94.19,92.63
04/09/2026,93.03,"1,712,390",92.63,93.765,91.4
04/08/2026,93.01,"2,128,542",92.84,93.365,91.715
04/07/2026,91.4,"1,744,574",90.99,92.45,90.415
04/06/2026,91.0,"1,276,684",90.54,91.485,90.32
04/02/2026,90.89,"2,164,781",90.29,91.85,89.93
04/01/2026,91.03,"2,498,106",90.52,91.16,90.175
03/31/2026,90.42,"1,903,892",89.11,90.54,87.61
03/30/2026,88.62,"1,958,718",89.37,89.43,88.11
03/27/2026,88.57,"2,273,747",89.19,89.19,87.62
03/26/2026,89.15,"1,582,675",87.42,89.605,87.16
03/25/2026,87.64,"1,738,271",86.91,87.945,86.1475
03/24/2026,86.32,"1,572,183",86.99,87.75,85.825
03/23/2026,87.8,"1,782,568",88.73,88.78,87.46
03/20/2026,87.87,"2,751,441",89.49,90.22,87.35
03/19/2026,89.84,"1,812,146",88.62,90.76,88.62
03/18/2026,89.08,"2,157,450",91.36,91.785,89.0
03/17/2026,92.52,"2,077,825",93.75,94.77,91.3
03/16/2026,93.3,"1,955,789",93.55,95.25,93.29
03/13/2026,93.2,"1,818,464",93.35,93.75,92.34
03/12/2026,92.59,"3,184,555",94.0,95.31,92.36
