date,close,volume,open,high,low
05/15/2026,161.05,"4,162,579",156.89,162.73,152.12
05/14/2026,153.7,"3,996,804",153.5,158.0375,146.39
05/13/2026,152.43,"4,811,448",144.69,153.95,143.03
05/12/2026,146.17,"2,323,749",149.35,150.585,145.68
05/11/2026,148.87,"2,541,177",150.73,153.45,147.66
05/08/2026,152.13,"3,522,201",149.34,152.195,145.11
05/07/2026,152.79,"3,378,967",148.0,153.46,147.16
05/06/2026,138.83,"2,268,693",138.69,139.86,134.74
05/05/2026,141.36,"2,043,503",143.52,144.0,138.955
05/04/2026,142.2,"2,166,640",140.4,144.97,139.42
05/01/2026,139.81,"2,867,503",135.35,140.99,131.965
04/30/2026,130.68,"2,376,877",132.9,132.9,127.79
04/29/2026,134.73,"1,339,176",135.12,135.715,131.74
04/28/2026,136.07,"2,168,816",135.27,138.355,134.5
04/27/2026,134.11,"2,045,704",135.35,138.0,133.685
04/24/2026,135.5,"2,319,038",133.32,135.7,130.42
04/23/2026,132.97,"3,054,849",136.69,137.99,130.34
04/22/2026,142.66,"2,465,152",137.39,142.75,136.75
04/21/2026,139.61,"2,855,575",135.95,144.715,135.58
04/20/2026,134.8,"1,944,616",133.89,137.2,132.6
04/17/2026,134.68,"2,457,105",138.14,139.0,133.5
04/16/2026,134.33,"2,968,830",134.96,138.0,132.79
04/15/2026,131.01,"3,860,468",125.2,131.3199,122.77
04/14/2026,122.68,"2,905,397",123.54,126.0,120.79
04/13/2026,122.62,"3,786,223",119.05,122.96,117.96
04/10/2026,118.05,"5,478,001",122.66,123.38,114.625
04/09/2026,122.23,"7,343,496",133.1,133.5,120.765
04/08/2026,137.85,"2,564,647",148.51,150.5,136.97
04/07/2026,142.09,"1,985,965",138.715,142.7,136.255
04/06/2026,139.52,"1,365,681",139.62,140.735,137.655
04/02/2026,138.56,"1,562,924",136.38,139.16,134.1
04/01/2026,136.67,"2,734,944",139.45,139.5,132.58
03/31/2026,140.29,"1,937,540",139.42,142.61,136.11
03/30/2026,137.26,"2,936,702",135.26,141.42,134.66
03/27/2026,133.16,"4,301,767",133.79,135.71,128.0
03/26/2026,141.5,"1,936,678",139.18,145.0,137.6
03/25/2026,139.44,"2,996,872",142.09,144.94,138.8501
03/24/2026,139.41,"3,419,262",149.97,149.97,139.3
03/23/2026,151.8,"1,603,418",152.385,154.51,150.17
03/20/2026,151.47,"5,082,755",152.75,153.75,148.28
03/19/2026,155.4,"1,857,735",156.35,161.9,153.85
03/18/2026,155.99,"1,517,699",153.82,158.68,153.43
03/17/2026,156.0,"2,314,668",153.37,158.78,152.67
03/16/2026,153.69,"2,032,344",155.26,155.45,151.74
03/13/2026,153.76,"2,106,078",152.57,156.1999,151.0
03/12/2026,151.61,"2,298,103",152.26,157.49,150.33
03/11/2026,153.81,"2,514,197",157.97,160.5,151.82
03/10/2026,156.61,"3,082,080",163.52,164.11,154.44
03/09/2026,162.62,"2,421,848",163.12,166.3,160.7
03/06/2026,164.06,"2,534,948",161.285,166.1,158.33
03/05/2026,161.96,"2,921,736",155.93,163.77,155.6144
03/04/2026,156.21,"1,996,004",154.95,159.24,153.8
03/03/2026,154.67,"3,123,895",146.175,156.14,144.4
03/02/2026,148.58,"4,407,828",146.19,152.65,145.25
02/27/2026,146.99,"11,093,340",144.95,151.0,140.56
02/26/2026,167.36,"6,407,924",159.515,167.59,158.0
02/25/2026,155.7,"3,414,446",149.8,155.79,147.17
02/24/2026,149.36,"4,687,123",143.83,151.15,142.0001
02/23/2026,143.28,"5,737,136",157.44,157.61,141.56
02/20/2026,159.75,"3,268,445",167.0,172.6,159.66
02/19/2026,168.99,"3,337,108",169.64,172.1,166.3
02/18/2026,172.13,"2,542,142",167.345,172.65,164.39
02/17/2026,172.59,"2,038,130",175.825,176.85,169.61
02/13/2026,177.72,"2,434,126",174.34,179.9,172.43
02/12/2026,170.9,"2,499,331",171.99,173.99,163.0
02/11/2026,171.0,"2,670,091",175.62,175.87,165.36
02/10/2026,174.34,"2,409,225",171.76,176.8394,169.33
02/09/2026,170.18,"2,651,680",167.985,171.28,162.873
02/06/2026,167.33,"4,527,195",171.6,172.51,162.94
02/05/2026,169.39,"3,189,465",187.11,188.23,169.18
02/04/2026,185.79,"2,407,463",186.5,188.23,177.66
02/03/2026,188.05,"3,162,822",198.23,198.5,183.91
02/02/2026,200.61,"1,418,152",199.76,203.2,198.0
01/30/2026,200.01,"1,569,092",200.495,203.5,199.0
01/29/2026,200.63,"3,090,411",209.51,210.66,197.47
01/28/2026,213.95,"1,424,998",221.16,221.946,213.22
01/27/2026,219.67,"3,415,556",224.0,229.0,219.125
01/26/2026,214.55,"1,420,901",212.2,216.7,211.008
01/23/2026,209.62,"1,510,293",209.14,210.65,207.32
