date,close,volume,open,high,low
05/15/2026,74.22,"8,951,992",75.4,76.9,72.38
05/14/2026,75.48,"8,714,798",74.45,75.75,73.98
05/13/2026,74.34,"13,085,620",76.675,77.84,74.29
05/12/2026,76.94,"18,430,100",77.65,78.67,75.11
05/11/2026,76.67,"15,641,080",82.12,82.12,76.38
05/08/2026,82.83,"17,187,010",87.315,87.58,81.1
05/07/2026,87.31,"29,922,900",90.665,91.64,85.31
05/06/2026,111.22,"5,274,435",113.69,115.125,110.94
05/05/2026,112.54,"3,356,064",112.67,113.51,111.2675
05/04/2026,112.68,"3,211,583",113.65,114.185,112.1
05/01/2026,114.16,"3,203,961",116.22,116.25,113.76
04/30/2026,114.97,"4,297,204",114.04,115.535,113.79
04/29/2026,113.83,"3,395,922",115.5,115.905,112.97
04/28/2026,116.65,"2,972,546",117.23,118.29,116.075
04/27/2026,117.87,"3,160,354",116.62,119.68,116.6
04/24/2026,116.87,"4,185,101",116.01,117.05,115.41
04/23/2026,116.06,"4,532,932",117.19,117.5999,114.95
04/22/2026,117.52,"3,514,671",118.95,119.91,116.6
04/21/2026,118.18,"3,728,474",122.0,123.21,117.75
04/20/2026,122.72,"3,798,639",121.55,123.32,120.545
04/17/2026,122.38,"6,170,637",120.08,122.97,119.57
04/16/2026,119.04,"2,989,437",120.89,122.01,119.03
04/15/2026,120.76,"2,209,983",121.74,122.47,120.2
04/14/2026,121.11,"2,779,148",119.61,121.54,118.6
04/13/2026,120.08,"3,533,566",117.17,120.11,116.85
04/10/2026,117.86,"2,383,976",120.38,120.75,117.22
04/09/2026,119.99,"2,439,134",119.04,120.245,117.22
04/08/2026,119.75,"2,635,561",118.78,119.79,118.3222
04/07/2026,116.8,"3,254,354",118.09,118.48,116.3
04/06/2026,118.26,"1,723,330",117.11,118.395,116.8
04/02/2026,117.94,"2,185,422",115.93,118.645,115.37
04/01/2026,117.29,"2,211,613",118.2,118.89,116.76
03/31/2026,118.21,"3,929,401",116.89,118.235,115.66
03/30/2026,116.33,"2,912,690",114.79,116.59,113.58
03/27/2026,113.35,"3,602,059",116.81,117.29,113.29
03/26/2026,116.63,"2,725,860",115.64,118.5799,115.3
03/25/2026,116.71,"3,078,928",117.26,118.14,115.3
03/24/2026,115.93,"4,561,764",113.89,117.11,113.3
03/23/2026,115.23,"4,617,856",117.15,117.33,114.615
03/20/2026,115.67,"11,424,910",115.95,117.19,114.36
03/19/2026,115.99,"4,999,135",116.69,118.36,115.9
03/18/2026,117.35,"5,126,880",120.29,120.79,116.88
03/17/2026,121.68,"4,508,625",118.86,122.52,118.66
03/16/2026,118.15,"3,667,204",115.61,118.545,115.3
03/13/2026,115.62,"3,783,256",116.51,117.32,114.47
03/12/2026,115.46,"3,955,194",118.87,120.565,115.23
03/11/2026,119.79,"3,127,870",120.37,120.94,118.35
03/10/2026,120.49,"2,994,843",121.95,122.965,120.4
03/09/2026,122.36,"3,689,326",119.78,122.38,118.33
03/06/2026,121.43,"4,308,450",121.02,121.87,118.28
03/05/2026,122.23,"4,139,730",124.535,125.45,122.04
03/04/2026,125.96,"5,413,745",125.91,126.9,124.835
03/03/2026,125.93,"3,068,152",127.5,127.9,125.185
03/02/2026,128.96,"3,063,882",130.05,130.05,127.09
02/27/2026,131.1,"5,546,407",128.93,132.3,128.25
02/26/2026,129.76,"3,637,594",129.095,131.34,128.44
02/25/2026,128.95,"3,024,226",128.7,129.78,127.02
02/24/2026,128.66,"3,614,431",125.79,129.68,125.0
02/23/2026,125.79,"3,728,143",126.75,127.89,124.42
02/20/2026,128.78,"5,799,073",126.33,128.8,125.6
02/19/2026,127.28,"4,738,520",128.74,129.98,125.47
02/18/2026,129.13,"4,494,863",125.9,129.195,124.5
02/17/2026,125.56,"3,766,929",127.56,128.0,125.45
02/13/2026,126.65,"4,499,702",126.665,130.65,125.65
02/12/2026,125.64,"10,944,590",132.49,132.49,118.94
02/11/2026,128.67,"6,933,545",126.97,129.76,126.965
02/10/2026,128.13,"3,620,352",127.68,129.6,127.68
02/09/2026,127.3,"3,176,014",127.09,128.22,126.34
02/06/2026,127.42,"4,127,725",127.99,129.95,126.54
02/05/2026,126.73,"4,653,093",127.23,127.58,126.15
02/04/2026,126.7,"5,106,207",123.21,127.66,123.21
02/03/2026,122.41,"3,816,195",123.35,126.39,122.21
02/02/2026,124.94,"4,109,062",124.02,125.12,123.04
01/30/2026,124.82,"5,247,316",121.16,124.87,120.06
01/29/2026,121.72,"4,729,118",123.09,123.34,121.33
01/28/2026,121.93,"6,130,213",124.03,125.09,121.2501
01/27/2026,124.96,"3,587,693",123.54,126.29,123.05
01/26/2026,123.92,"4,262,127",123.91,124.98,122.97
01/23/2026,124.05,"3,339,665",124.25,124.81,123.51
01/22/2026,124.4,"4,715,418",124.27,126.47,123.73
01/21/2026,125.08,"5,201,868",123.96,127.12,123.675
01/20/2026,123.24,"5,443,189",122.53,125.72,121.65
01/16/2026,124.65,"7,048,452",125.34,125.9,123.47
01/15/2026,125.28,"4,049,055",126.0,126.355,123.71
01/14/2026,125.84,"3,357,445",124.94,126.5,124.61
01/13/2026,124.62,"4,301,093",125.96,125.97,123.315
01/12/2026,125.32,"6,309,833",126.98,127.27,124.2
01/09/2026,127.17,"3,060,992",127.68,128.35,126.08
01/08/2026,126.85,"4,118,237",124.84,128.335,124.55
01/07/2026,125.67,"5,291,926",129.49,130.23,125.64
